"","rank","sparseness.basis","sparseness.coef","rss","evar","silhouette.coef","silhouette.basis","residuals","niter","cpu","cpu.all","nrun","cophenetic","dispersion","silhouette.consensus"
"1",1,0.00166164211755109,NA,0.000356901480311808,0.654244483717395,NA,NA,1.55878559046308,60,0.112,30.9959999999997,30,NA,1,NA
"2",2,0.142651710442347,0.356305172768221,0.000342628283292287,0.668071931561478,1,1,1.51460581044153,2000,4.007,127.754000000001,30,0.968882150054817,0.517895704987579,0.805956816079336
"3",3,0.199711141473313,0.412734501913061,0.000329533929578903,0.680757351147306,0.723447534440884,0.673041595368964,1.47451280767727,2000,3.266,152.264999999999,30,0.791697893509514,0.382059770884828,0.373786260645243
"4",4,0.277280542210754,0.43694560088781,0.000316357610628004,0.693522176212173,0.596978654212818,0.543964754054149,1.43657592997626,2000,6.646,178.776999999999,30,0.765584514151498,0.468797214774267,0.341325538393945
"5",5,0.328602690078541,0.450332751489464,0.000304138967684313,0.70535923330585,0.501136695157584,0.475373563308534,1.4012003221018,2000,7.317,209.167,30,0.710674070227929,0.512933100113021,0.246738383869421
"6",6,0.368647446674086,0.475085172701979,0.000293489738319075,0.71567588930283,0.456771922178373,0.441984985052344,1.36875615030352,2000,5.479,241.485000000001,30,0.683038435298624,0.55182455849473,0.194796749895458
