player_dist,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
0.000000000000000000e+00,4.351865050388427705e-03,4.441316648001262732e-03,4.536735721192103506e-03,4.739899914091177426e-03,5.154684653568285951e-03
0.000000000000000000e+00,3.269692246583193792e-03,3.873335735695018680e-03,4.555138801247673487e-03,5.045788163170391097e-03,5.152779143999052826e-03
0.000000000000000000e+00,4.293412649010380951e-03,6.038259464156377210e-03,6.306648220054350377e-03,6.407803994173908238e-03,7.304399466543354778e-03
0.000000000000000000e+00,2.185572627080114173e-03,4.049553036081706206e-03,4.195716590178070853e-03,4.611993032363345506e-03,4.760060207618611525e-03
0.000000000000000000e+00,7.313157175816033424e-03,7.527614564084097321e-03,7.728296057926560200e-03,8.782861156950648104e-03,8.971078904123233264e-03
0.000000000000000000e+00,3.550518308485378204e-03,3.730370170953238758e-03,3.873335735695018680e-03,4.049553036081706206e-03,4.081283494038826128e-03
0.000000000000000000e+00,8.502939396147759718e-04,1.234309851528594222e-03,1.337465235056061342e-03,1.520584784705002971e-03,4.007025966482074923e-03
0.000000000000000000e+00,2.185572627080114173e-03,4.403323426982610513e-03,4.529653261755373257e-03,4.599833425900868612e-03,4.635769759710434840e-03
0.000000000000000000e+00,2.880541679779772754e-03,3.287456595988111525e-03,4.546657406569170647e-03,5.284612129485534437e-03,6.288263010718679949e-03
0.000000000000000000e+00,3.254033932018909458e-03,4.529653261755373257e-03,4.650306591708249990e-03,4.760060207618611525e-03,5.051464307453787557e-03
0.000000000000000000e+00,3.229877634329201934e-03,4.316530656616224780e-03,4.403323426982610513e-03,4.618905058296494774e-03,4.771962562492726261e-03
0.000000000000000000e+00,2.176994270258481631e-03,3.168158435719115214e-03,5.001398159195469956e-03,5.090301960016257662e-03,5.471062927474196896e-03
0.000000000000000000e+00,3.222012006075367866e-03,4.675890662289052847e-03,5.001398159195469956e-03,6.028559318047198128e-03,7.996006746947037155e-03
0.000000000000000000e+00,2.176994270258481631e-03,3.324758809821036325e-03,4.329385050388802336e-03,4.984399835585742559e-03,5.633462341900917839e-03
0.000000000000000000e+00,4.231973594778507680e-03,5.585903397817043765e-03,5.842574507423767619e-03,6.164356952824385540e-03,6.246040620917455051e-03
0.000000000000000000e+00,3.264313207900070880e-03,3.992965226528125480e-03,4.231973594778507680e-03,4.536735721192103506e-03,4.630133170649738950e-03
0.000000000000000000e+00,4.405021896467649530e-03,4.803222394196286944e-03,4.950441398686522033e-03,5.140257245429691833e-03,5.402266454201814366e-03
0.000000000000000000e+00,4.114254963790842622e-03,4.717696058593926975e-03,5.611967628611188967e-03,5.631384881761086585e-03,6.033898779863908039e-03
0.000000000000000000e+00,3.550518308485378204e-03,4.349237684714487955e-03,4.613396179637814683e-03,5.152779143999052826e-03,5.432976303424740146e-03
0.000000000000000000e+00,3.683479300436493745e-03,5.409504999083257840e-03,6.309284276754959300e-03,6.639966603340932520e-03,7.029234747441817296e-03
0.000000000000000000e+00,5.943648792163821679e-03,6.255893195351012494e-03,7.943063116703489093e-03,8.509082915893220050e-03,8.879081968742770503e-03
0.000000000000000000e+00,3.756940760479347309e-03,6.642873750785984258e-03,7.084723079404003573e-03,7.158338666822875763e-03,7.705127270769467594e-03
0.000000000000000000e+00,4.171942015735590446e-03,4.555138801247673487e-03,4.618905058296494774e-03,4.641142457645351313e-03,6.090845269531025216e-03
0.000000000000000000e+00,8.216375992306221288e-03,1.035262113668967629e-02,1.146227182017170096e-02,1.164944201890658927e-02,1.294722342798601371e-02
0.000000000000000000e+00,2.932352545008839757e-03,4.717696058593926975e-03,5.589983880685313496e-03,5.632129551223577675e-03,5.633462341900917839e-03
0.000000000000000000e+00,5.848446745457645465e-03,6.246040620917455051e-03,6.263428497937791398e-03,6.366177278552091756e-03,6.587108034921919895e-03
0.000000000000000000e+00,3.756940760479347309e-03,5.175379736598454891e-03,5.356609988860620147e-03,5.361809301820439667e-03,5.718769548212861674e-03
0.000000000000000000e+00,3.730370170953238758e-03,4.349237684714487955e-03,4.376333853898717839e-03,5.078675809604788101e-03,5.632129551223577675e-03
