player_dist,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
0.000000000000000000e+00,5.737450035346032366e-03,5.831780520892063807e-03,5.929415321664473215e-03,6.375416301973759435e-03,7.842825159970421775e-03
0.000000000000000000e+00,4.293412649010380951e-03,5.349415720097275805e-03,6.377176221377355708e-03,6.913049907043183721e-03,7.145746050949803967e-03
0.000000000000000000e+00,6.288263010718679949e-03,7.551636110544996359e-03,7.880748563123088010e-03,8.184569546038897303e-03,8.282240057860964025e-03
0.000000000000000000e+00,1.750190443877741413e-03,3.287456595988111525e-03,5.456959900685162679e-03,5.719813428533408219e-03,6.751452262605493575e-03
0.000000000000000000e+00,4.505035513333142602e-03,5.620780872258480422e-03,8.615147095814177855e-03,1.018240949696118912e-02,1.035262113668967629e-02
0.000000000000000000e+00,3.327216801442223161e-04,6.007788054830456598e-04,1.234309851528594222e-03,2.134912858263526315e-03,5.220188923020636224e-03
0.000000000000000000e+00,3.327216801442223161e-04,9.310183210569563392e-04,1.520584784705002971e-03,2.463265151527279512e-03,5.522762809883003179e-03
0.000000000000000000e+00,3.703824596589218223e-03,7.560258439529971702e-03,7.894248725486550586e-03,8.011691957917363091e-03,8.335497084996389139e-03
0.000000000000000000e+00,5.750415196609630526e-03,7.656101099850055533e-03,9.920626315302862042e-03,1.012143403184519869e-02,1.202449170970738140e-02
0.000000000000000000e+00,3.168158435719115214e-03,3.222012006075367866e-03,4.329385050388802336e-03,6.161300802309693271e-03,6.356469042342945998e-03
0.000000000000000000e+00,5.869230176287618637e-03,7.709085033925620195e-03,8.062160988318304439e-03,8.182569078636349816e-03,8.813073750185348998e-03
0.000000000000000000e+00,4.470762939175158303e-03,4.505035513333142602e-03,8.636015194821450996e-03,9.496772490802459984e-03,1.044931824154112128e-02
0.000000000000000000e+00,3.017347874189657379e-03,5.349415720097275805e-03,6.038259464156377210e-03,7.660564829958942633e-03,8.161002353252448660e-03
0.000000000000000000e+00,3.254033932018909458e-03,3.269692246583193792e-03,4.081283494038826128e-03,4.613396179637814683e-03,4.964914679971623238e-03
0.000000000000000000e+00,1.959772539421556284e-03,2.011046321387894003e-03,4.387376091577490506e-03,6.648063442994987110e-03,7.842825159970421775e-03
0.000000000000000000e+00,3.581270343849418669e-03,3.857702986069484925e-03,4.611993032363345506e-03,4.984399835585742559e-03,5.589983880685313496e-03
0.000000000000000000e+00,4.470762939175158303e-03,5.620780872258480422e-03,8.381749146678489637e-03,8.407285713662315460e-03,8.639135716966249434e-03
0.000000000000000000e+00,3.835214464046445785e-03,4.351865050388427705e-03,4.626905228359286942e-03,5.361809301820439667e-03,5.872807006461174331e-03
0.000000000000000000e+00,4.171942015735590446e-03,4.771962562492726261e-03,4.798882796054227719e-03,5.456959900685162679e-03,5.879692871930721799e-03
0.000000000000000000e+00,2.932352545008839757e-03,4.114254963790842622e-03,5.471062927474196896e-03,5.911509718807328451e-03,6.237689906577565876e-03
0.000000000000000000e+00,1.337465235056061342e-03,1.557126690704113301e-03,2.134912858263526315e-03,2.463265151527279512e-03,3.455830964399275729e-03
0.000000000000000000e+00,2.887658680192395876e-03,5.284612129485534437e-03,7.244583411643194110e-03,7.880748563123088010e-03,8.213382735407111918e-03
0.000000000000000000e+00,5.750415196609630526e-03,6.255893195351012494e-03,8.683310093268262544e-03,9.645200003572700770e-03,1.055712094995284352e-02
0.000000000000000000e+00,2.887658680192395876e-03,4.546657406569170647e-03,6.079596455207809426e-03,6.751452262605493575e-03,8.226384995937417385e-03
0.000000000000000000e+00,2.656884379813736867e-03,3.455830964399275729e-03,4.007025966482074923e-03,4.105036965644333867e-03,4.705825255007759118e-03
0.000000000000000000e+00,4.675890662289052847e-03,6.006153074895402566e-03,6.161300802309693271e-03,6.237689906577565876e-03,6.279377080546454104e-03
0.000000000000000000e+00,3.229877634329201934e-03,5.014385590143204813e-03,5.652597307955636342e-03,5.719515280671928076e-03,5.719813428533408219e-03
0.000000000000000000e+00,3.703824596589218223e-03,4.376333853898717839e-03,4.756565332850131063e-03,6.638649405782946246e-03,6.680445230442835086e-03
0.000000000000000000e+00,6.245867360838074263e-03,1.289716540033007328e-02,1.294722342798601371e-02,1.426152997999410865e-02,1.742959696163776107e-02
0.000000000000000000e+00,9.617794392031746298e-03,9.823397913974817042e-03,1.011054593489652334e-02,1.118911111406619904e-02,1.128506013673056911e-02
0.000000000000000000e+00,6.244903891593598863e-03,6.313058544277989730e-03,7.807761616470415382e-03,8.313576459510188185e-03,8.407285713662315460e-03
0.000000000000000000e+00,2.484860037172255919e-03,4.635769759710434840e-03,5.014385590143204813e-03,5.169412684446769192e-03,5.318556552715692116e-03
0.000000000000000000e+00,6.007788054830456598e-04,8.502939396147759718e-04,9.310183210569563392e-04,1.557126690704113301e-03,4.705825255007759118e-03
0.000000000000000000e+00,3.783422315307294749e-04,2.011046321387894003e-03,4.873028260554385961e-03,5.831780520892063807e-03,6.565749357360637674e-03
