player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg
J. Nieto,ADMU,-0.151,-5.589,0.881,32.589,0.73,27.0,37.0,11.0
G. Mamuyac,ADMU,0.16,5.124,0.934,29.876,1.094,35.0,32.0,16.0
B. Bienes,FEU,0.092,4.771,0.927,48.229,1.019,53.0,52.0,19.0
J. Manuel,DLSU,-0.283,-13.035,0.979,45.035,0.696,32.0,46.0,13.0
J. Cullar,UE,0.004,0.175,0.928,40.825,0.932,41.0,44.0,19.0
M. Maloles,UE,-0.224,-9.376,0.914,38.376,0.69,29.0,42.0,12.0
C. Conner,UE,-0.014,-1.099,0.952,77.099,0.938,76.0,81.0,33.0
A. Pasaol,UE,-0.045,-13.229,0.974,286.229,0.929,273.0,294.0,125.0
J. Varilla,UE,-0.048,-5.335,0.868,96.335,0.82,91.0,111.0,39.0
P. Manalang,UE,-0.186,-25.14,0.949,128.14,0.763,103.0,135.0,44.0
R. Acuno,UE,-0.256,-7.163,0.899,25.163,0.643,18.0,28.0,9.0
W. Bartolome,UE,0.017,1.17,0.911,62.83,0.928,64.0,69.0,32.0
