y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
-2.5,-62.5,0.0,0.0,0.0,-0.85,0.0,6.52
-2.5,-57.5,0.0,0.0,0.0,-0.83,0.0,6.02
-2.5,-52.5,0.0,0.0,0.0,-0.695,0.0,5.52
-2.5,-47.5,0.0,0.0,0.0,-0.626,0.0,5.02
-2.5,-42.5,0.0,0.0,0.0,-0.728,0.0,4.53
-2.5,-37.5,0.0,0.0,0.0,-0.559,0.0,4.03
-2.5,-32.5,1.0,0.0,0.0,-0.624,-0.624,3.54
-2.5,-27.5,0.0,0.0,0.0,-0.685,0.0,3.04
-2.5,-22.5,0.0,0.0,0.0,-0.59,0.0,2.55
-2.5,-17.5,1.0,0.0,0.0,-0.86,-0.86,2.06
-2.5,-12.5,3.0,1.0,2.0,-0.263,-0.788,1.58
-2.5,-7.5,8.0,4.0,8.0,-0.122,-0.98,1.12
-2.5,-2.5,1.0,1.0,2.0,0.708,0.708,0.71
-2.5,2.5,4.0,1.0,2.0,-0.535,-2.141,0.5
-2.5,7.5,3.0,2.0,4.0,0.169,0.506,0.71
-2.5,12.5,0.0,0.0,0.0,-0.949,0.0,1.12
-2.5,17.5,2.0,2.0,4.0,1.053,2.106,1.58
-2.5,22.5,0.0,0.0,0.0,-0.74,0.0,2.06
-2.5,27.5,1.0,0.0,0.0,-0.683,-0.683,2.55
-2.5,32.5,1.0,0.0,0.0,-0.611,-0.611,3.04
-2.5,37.5,1.0,1.0,2.0,1.401,1.401,3.54
-2.5,42.5,0.0,0.0,0.0,-0.588,0.0,4.03
-2.5,47.5,1.0,1.0,2.0,1.433,1.433,4.53
-2.5,52.5,0.0,0.0,0.0,-0.632,0.0,5.02
-2.5,57.5,0.0,0.0,0.0,-0.776,0.0,5.52
-2.5,62.5,0.0,0.0,0.0,-0.912,0.0,6.02
-2.5,67.5,7.0,1.0,3.0,-0.465,-3.257,6.52
-2.5,72.5,12.0,5.0,15.0,0.375,4.501,7.02
2.5,-72.5,4.0,1.0,3.0,-0.128,-0.514,7.5
2.5,-67.5,6.0,3.0,9.0,0.503,3.017,7.0
2.5,-62.5,2.0,1.0,2.0,0.117,0.234,6.5
2.5,-57.5,0.0,0.0,0.0,-0.81,0.0,6.0
2.5,-52.5,0.0,0.0,0.0,-0.609,0.0,5.5
2.5,-47.5,1.0,1.0,2.0,1.277,1.277,5.0
2.5,-42.5,2.0,2.0,4.0,1.29,2.58,4.5
2.5,-37.5,0.0,0.0,0.0,-0.586,0.0,4.0
2.5,-32.5,3.0,2.0,4.0,0.676,2.029,3.5
2.5,-27.5,2.0,1.0,2.0,0.312,0.623,3.0
2.5,-22.5,2.0,0.0,0.0,-0.853,-1.705,2.5
2.5,-17.5,3.0,2.0,4.0,0.464,1.393,2.0
2.5,-12.5,6.0,4.0,8.0,0.456,2.739,1.5
2.5,-7.5,48.0,31.0,62.0,0.01,0.475,1.0
2.5,-2.5,25.0,17.0,34.0,0.025,0.631,0.5
2.5,2.5,27.0,18.0,36.0,-0.029,-0.79,0.0
2.5,7.5,49.0,35.0,70.0,0.123,6.013,0.5
2.5,12.5,8.0,4.0,8.0,-0.088,-0.701,1.0
2.5,17.5,7.0,4.0,8.0,0.219,1.536,1.5
2.5,22.5,1.0,0.0,0.0,-0.668,-0.668,2.0
2.5,27.5,1.0,0.0,0.0,-0.731,-0.731,2.5
2.5,32.5,0.0,0.0,0.0,-0.705,0.0,3.0
2.5,37.5,1.0,0.0,0.0,-0.599,-0.599,3.5
2.5,42.5,2.0,1.0,2.0,0.433,0.866,4.0
2.5,47.5,0.0,0.0,0.0,-0.542,0.0,4.5
2.5,52.5,1.0,0.0,0.0,-0.709,-0.709,5.0
2.5,57.5,0.0,0.0,0.0,-0.801,0.0,5.5
2.5,62.5,0.0,0.0,0.0,-0.83,0.0,6.0
2.5,67.5,4.0,1.0,3.0,0.15,0.598,6.5
2.5,72.5,8.0,3.0,9.0,-0.162,-1.296,7.0
7.5,-72.5,1.0,0.0,0.0,-0.855,-0.855,7.52
7.5,-67.5,1.0,0.0,0.0,-0.575,-0.575,7.02
7.5,-62.5,1.0,0.0,0.0,-0.868,-0.868,6.52
7.5,-57.5,0.0,0.0,0.0,-0.781,0.0,6.02
