0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.054747,0.109585,0.025308,-0.004938,0.013925,0.067842,0.027869,-0.00431,0.022554,0.024225,0.041274,0.050216,0.026424,0.035914,0.025767,0.025962,0.029331,0.021585,0.039901,0.043843,0.015092,0.014874,0.010938,0.039723,0.068462,0.010964,0.040379,0.043894,0.087816,0.058985
0.062461,0.096733,0.005771,-0.005486,0.024439,0.04562,0.00213,-0.00693,0.019523,0.016359,0.048247,0.026317,0.038093,0.043038,0.041486,0.039565,0.043196,0.037972,0.018268,0.037818,0.015279,0.019031,0.008896,0.029083,0.045926,0.02885,0.088496,0.072918,0.094026,0.065979
0.066236,0.087288,0.015348,0.020252,0.0483,0.042039,0.028745,0.011612,0.025904,0.02214,0.047663,0.020651,0.031668,0.035817,0.035654,0.03583,0.036036,0.032858,0.020688,0.046799,0.017493,0.018952,0.002577,0.030309,0.041012,0.02725,0.065691,0.052983,0.077461,0.063923
0.065824,0.091026,0.017049,0.010713,0.056113,0.04558,0.02259,0.011775,0.023543,0.014933,0.041053,0.017407,0.029131,0.031322,0.03178,0.030904,0.029425,0.027857,0.013821,0.036055,0.010653,0.017836,0.000212,0.031952,0.03973,0.029368,0.061409,0.051032,0.076746,0.065553
0.062453,0.09041,0.013302,0.021134,0.045974,0.040645,0.025877,0.020262,0.014064,0.011505,0.03798,0.015093,0.021687,0.029655,0.026241,0.025738,0.031506,0.027174,0.018747,0.037756,0.016086,0.012817,0.004913,0.030978,0.038496,0.017792,0.035649,0.027312,0.083049,0.065775
0.056017,0.087973,0.00901,0.015629,0.031792,0.039412,0.024912,0.017589,0.006392,0.007476,0.019573,0.022577,0.023257,0.028014,0.03205,0.0307,0.029172,0.025559,0.024885,0.027373,0.017197,0.010043,0.000778,0.031422,0.039221,0.009094,0.034959,0.070736,0.113335,0.057539
0.05607,0.109095,0.079176,0.078894,0.031081,0.061618,0.027872,0.023148,0.003931,0.004791,0.011844,0.016177,0.017924,0.017612,0.012614,0.014791,0.019232,0.027725,0.030709,0.008741,0.027858,-0.000335,0.010888,0.04045,0.058373,0.007527,0.004047,0.060105,0.10664,0.051291
0.055326,0.072287,0.132248,0.086505,0.028652,0.023616,0.029216,0.007713,-0.006521,0.004291,0.010183,0.010794,0.012516,0.024709,0.020801,0.022197,0.027609,0.022796,-0.00674,0.017187,0.031277,0.000223,0.031561,0.040536,0.047519,0.012064,0.009397,0.099599,0.070958,0.052041
0.055575,0.065269,0.137127,0.104004,0.024406,0.010837,0.046713,0.013513,0.01155,-0.007641,0.013915,0.022303,0.020128,0.015295,0.005231,0.012838,0.008071,0.008472,0.018905,0.02649,0.025286,0.020831,0.027973,0.056476,0.042656,0.001105,0.014347,0.103619,0.064762,0.052157
0.062888,0.056288,0.078027,0.107527,0.033358,0.016075,0.00796,0.03778,0.034121,0.016008,0.004664,0.020512,0.032344,0.024315,0.028305,0.023368,0.023294,0.017058,0.003361,0.007846,0.025242,0.022073,0.042159,0.022918,0.040515,0.003812,0.048457,0.083988,0.057773,0.054775
0.071244,0.055394,0.063764,0.120482,0.056526,0.036515,-0.0052,0.018476,0.043001,0.024094,0.025512,0.008375,0.002404,0.000864,-0.008659,-0.000376,0.014292,0.009122,0.013327,0.013428,0.023339,0.034189,0.012567,0.032217,0.079119,0.035875,0.076018,0.06831,0.052958,0.049447
0.09779,0.060591,0.057207,0.071553,0.070157,0.039425,0.003539,0.000512,0.031186,0.049602,0.041576,0.033864,0.025322,0.014005,0.021234,0.019487,0.026075,0.034261,0.031331,0.045091,0.062827,0.009968,0.003901,0.047173,0.058836,0.061143,0.064307,0.056864,0.054215,0.059134
0.100775,0.064737,0.060446,0.053413,0.061982,0.062925,0.015517,0.028974,0.024675,0.033479,0.023138,0.057466,0.045765,0.039742,0.051762,0.046157,0.04913,0.078383,0.064581,0.034298,0.024793,0.012796,0.024902,0.04354,0.073531,0.061793,0.052013,0.061503,0.055202,0.059384
0.08996,0.071345,0.047999,0.054159,0.05068,0.063557,0.050594,0.014154,0.021857,0.013855,0.014309,0.00855,0.018691,0.016007,0.034024,0.026332,0.034083,0.025605,0.0134,0.015654,0.022431,0.048554,0.011262,0.079267,0.062179,0.048663,0.054647,0.059844,0.081267,0.071962
0.123918,0.056184,0.059033,0.04714,0.048874,0.051545,0.061814,0.063947,0.064792,0.073805,0.07448,0.047338,0.048778,0.030956,0.034874,0.042192,0.051101,0.037478,0.066717,0.060153,0.035294,0.075462,0.07023,0.068362,0.050211,0.05502,0.058332,0.078831,0.074068,0.094191
0.148448,0.080647,0.058521,0.060244,0.051594,0.056435,0.053272,0.061092,0.066308,0.103214,0.119544,0.089188,0.103943,0.079499,0.042544,0.042666,0.088829,0.121922,0.099242,0.09231,0.093157,0.072848,0.0628,0.052727,0.057515,0.054871,0.081593,0.068658,0.09899,0.08196
0.240173,0.114128,0.072125,0.056707,0.066077,0.060805,0.055372,0.050517,0.052994,0.063576,0.067865,0.089438,0.106248,0.086894,0.080115,0.076322,0.083545,0.100453,0.095042,0.068208,0.063348,0.054104,0.050209,0.055139,0.058991,0.074799,0.082407,0.080228,0.08132,0.109541
0.263405,0.165541,0.089853,0.055473,0.063962,0.073125,0.062416,0.056417,0.058795,0.05693,0.052776,0.051745,0.055376,0.062967,0.068156,0.070777,0.067427,0.059378,0.060533,0.057,0.053627,0.057702,0.054319,0.06824,0.084656,0.069225,0.10941,0.083197,0.14463,0.151054
0.295511,0.21842,0.167475,0.112918,0.09449,0.074905,0.066878,0.073134,0.07355,0.065439,0.057323,0.060601,0.068518,0.058289,0.058092,0.061577,0.061869,0.062366,0.059153,0.057083,0.063538,0.075177,0.08202,0.077601,0.090055,0.124366,0.122599,0.143693,0.191866,0.165182
0.372951,0.18788,0.226088,0.21206,0.15143,0.141571,0.135082,0.088761,0.095084,0.093866,0.100067,0.083047,0.066378,0.068147,0.067612,0.065348,0.063346,0.064576,0.069854,0.08188,0.092722,0.106048,0.099119,0.144729,0.144857,0.172122,0.209569,0.221291,0.158108,0.427568
