fg_id_all,team,opponent,made,x,y,num,player,points,shot_type,date,venue,made_points
6096,FEU,UE,1,-68,13,1,J. Nunag,3,jump shot,2018.11.04,Ynarez,3
6097,FEU,UE,0,-36,25,11,R. Ramirez,2,jump shot,2018.11.04,Ynarez,0
6172,ADU,ADMU,0,-38,37,25,K. Zaldivar,2,jump shot,2018.11.04,Ynarez,0
6215,ADU,ADMU,0,-12,25,28,M. Macion,2,jump shot,2018.11.04,Ynarez,0
6216,ADU,ADMU,0,16,18,9,W. Magbuhos,2,jump shot,2018.11.04,Ynarez,0
6217,ADU,ADMU,1,13,28,25,K. Zaldivar,2,jump shot,2018.11.04,Ynarez,2
6295,ADU,UST,0,-27,9,20,K. Bernardo,2,jump shot,2018.11.07,SAC,0
6296,ADU,UST,0,12,19,20,K. Bernardo,2,jump shot,2018.11.07,SAC,0
6336,ADU,UST,0,-22,40,20,K. Bernardo,2,jump shot,2018.11.07,SAC,0
6377,NU,DLSU,1,26,25,29,M. Malonzo,2,jump shot,2018.11.07,SAC,2
6379,NU,DLSU,0,31,6,29,M. Malonzo,2,jump shot,2018.11.07,SAC,0
6432,DLSU,NU,1,0,1,32,B. Bates,2,tip in,2018.11.07,SAC,2
6451,DLSU,NU,0,-19,20,3,M. Corteza,2,jump shot,2018.11.07,SAC,0
6454,DLSU,NU,1,-20,10,32,B. Bates,2,jump shot,2018.11.07,SAC,2
6513,ADU,UE,0,71,-8,25,K. Zaldivar,3,jump shot,2018.11.10,SAC,0
6546,ADU,UE,0,6,10,20,K. Bernardo,2,jump shot,2018.11.10,SAC,0
6552,ADU,UE,0,0,0,17,J. Colonia,2,jump shot,2018.11.10,SAC,0
6553,ADU,UE,0,-7,7,25,K. Zaldivar,2,jump shot,2018.11.10,SAC,0
6555,ADU,UE,0,-22,0,25,K. Zaldivar,2,jump shot,2018.11.10,SAC,0
6590,UE,ADU,0,-10,8,12,S. Gagate,2,jump shot,2018.11.10,SAC,0
6591,UE,ADU,0,23,4,12,S. Gagate,2,jump shot,2018.11.10,SAC,0
6594,UE,ADU,0,-55,63,84,R. Gallardo,3,jump shot,2018.11.10,SAC,0
6606,UE,ADU,1,9,28,84,R. Gallardo,2,jump shot,2018.11.10,SAC,2
6616,UE,ADU,1,0,10,84,R. Gallardo,2,jump shot,2018.11.10,SAC,2
6623,UE,ADU,0,-56,53,81,J. Antiporda,3,jump shot,2018.11.10,SAC,0
6624,UE,ADU,0,-67,40,81,J. Antiporda,3,jump shot,2018.11.10,SAC,0
6628,UE,ADU,0,34,30,12,S. Gagate,2,jump shot,2018.11.10,SAC,0
6654,UST,UP,0,61,63,4,M. Bonleon,3,jump shot,2018.11.10,SAC,0
6669,UST,UP,0,-71,58,15,T. Agustin,3,jump shot,2018.11.10,SAC,0
6673,UST,UP,0,14,11,15,T. Agustin,2,jump shot,2018.11.10,SAC,0
6717,UP,UST,1,-4,0,20,J. Prado,2,jump shot,2018.11.10,SAC,2
6719,UP,UST,0,63,57,12,J. Lim,3,jump shot,2018.11.10,SAC,0
6730,UP,UST,0,72,-6,3,J. Spencer,3,jump shot,2018.11.10,SAC,0
6746,UP,UST,0,70,6,12,J. Lim,3,jump shot,2018.11.10,SAC,0
6776,UP,UST,0,70,0,33,D. Longa,3,jump shot,2018.11.10,SAC,0
6824,FEU,NU,0,-73,2,0,K. Bayquin,3,jump shot,2018.11.11,SAC,0
6831,FEU,NU,1,-5,7,0,K. Bayquin,2,jump shot,2018.11.11,SAC,2
6861,NU,FEU,1,4,4,27,J. Tibayan,2,jump shot,2018.11.11,SAC,2
6863,NU,FEU,1,-1,53,14,J. Galinato,2,jump shot,2018.11.11,SAC,2
6866,NU,FEU,0,32,36,27,J. Tibayan,2,jump shot,2018.11.11,SAC,0
6877,NU,FEU,0,-10,5,14,J. Galinato,2,jump shot,2018.11.11,SAC,0
6905,NU,FEU,0,4,1,7,M. Salim,2,jump shot,2018.11.11,SAC,0
6908,NU,FEU,1,2,0,7,M. Salim,2,jump shot,2018.11.11,SAC,2
6928,DLSU,ADMU,1,2,2,2,K. Samuel,2,lay up,2018.11.11,SAC,2
6939,DLSU,ADMU,0,-16,5,2,K. Samuel,2,jump shot,2018.11.11,SAC,0
6940,DLSU,ADMU,0,-2,-1,2,K. Samuel,2,jump shot,2018.11.11,SAC,0
6941,DLSU,ADMU,0,13,82,2,K. Samuel,3,jump shot,2018.11.11,SAC,0
6949,DLSU,ADMU,1,-5,0,2,K. Samuel,2,jump shot,2018.11.11,SAC,2
6950,DLSU,ADMU,1,-7,0,32,B. Bates,2,jump shot,2018.11.11,SAC,2
6951,DLSU,ADMU,1,-9,0,2,K. Samuel,2,jump shot,2018.11.11,SAC,2
6968,DLSU,ADMU,0,-38,61,2,K. Samuel,3,jump shot,2018.11.11,SAC,0
7001,ADMU,DLSU,0,4,8,21,M. Daves,2,jump shot,2018.11.11,SAC,0
7072,ADMU,UST,0,37,73,8,A. Black,3,jump shot,2018.11.14,MOA,0
7075,ADMU,UST,0,-14,14,8,A. Black,2,jump shot,2018.11.14,MOA,0
7077,ADMU,UST,0,12,6,2,B. Andrade,2,jump shot,2018.11.14,MOA,0
7082,ADMU,UST,1,-33,70,2,B. Andrade,3,jump shot,2018.11.14,MOA,3
7083,ADMU,UST,0,22,10,2,B. Andrade,2,jump shot,2018.11.14,MOA,0
7085,ADMU,UST,0,25,71,2,B. Andrade,3,jump shot,2018.11.14,MOA,0
7120,ADMU,UST,1,-55,46,2,B. Andrade,3,jump shot,2018.11.14,MOA,3
7121,ADMU,UST,0,-10,10,8,A. Black,2,jump shot,2018.11.14,MOA,0
7123,ADMU,UST,1,-4,76,2,B. Andrade,3,jump shot,2018.11.14,MOA,3
7124,ADMU,UST,0,-16,5,8,A. Black,2,jump shot,2018.11.14,MOA,0
7128,ADMU,UST,1,0,0,21,M. Daves,2,dunk,2018.11.14,MOA,2
7138,UST,ADMU,1,-19,7,15,T. Agustin,2,lay up,2018.11.14,MOA,2
7141,UST,ADMU,1,36,61,15,T. Agustin,3,jump shot,2018.11.14,MOA,3
7142,UST,ADMU,0,68,4,4,M. Bonleon,3,jump shot,2018.11.14,MOA,0
7149,UST,ADMU,1,-14,19,16,N. Consejo,2,jump shot,2018.11.14,MOA,2
7151,UST,ADMU,1,3,20,15,T. Agustin,2,lay up,2018.11.14,MOA,2
7165,UST,ADMU,0,-31,39,41,D. Ando,2,jump shot,2018.11.14,MOA,0
7166,UST,ADMU,1,14,62,41,D. Ando,2,jump shot,2018.11.14,MOA,2
7167,UST,ADMU,0,-5,59,41,D. Ando,2,jump shot,2018.11.14,MOA,0
7169,UST,ADMU,1,-19,12,15,T. Agustin,2,jump shot,2018.11.14,MOA,2
7170,UST,ADMU,0,-35,47,15,T. Agustin,2,jump shot,2018.11.14,MOA,0
7173,UST,ADMU,1,13,4,15,T. Agustin,2,jump shot,2018.11.14,MOA,2
7176,UST,ADMU,1,0,2,15,T. Agustin,2,tip in,2018.11.14,MOA,2
7179,UST,ADMU,0,-63,33,15,T. Agustin,3,jump shot,2018.11.14,MOA,0
7180,UST,ADMU,0,-9,11,15,T. Agustin,2,jump shot,2018.11.14,MOA,0
7197,UP,DLSU,0,46,22,20,J. Prado,2,jump shot,2018.11.14,MOA,0
7199,UP,DLSU,1,-46,55,11,F. Tungcab,3,jump shot,2018.11.14,MOA,3
7215,UP,DLSU,1,12,11,19,W. Gozum,2,jump shot,2018.11.14,MOA,2
7219,UP,DLSU,0,-3,52,19,W. Gozum,2,jump shot,2018.11.14,MOA,0
7232,UP,DLSU,1,-1,15,12,J. Lim,2,jump shot,2018.11.14,MOA,2
7239,UP,DLSU,1,3,10,20,J. Prado,2,jump shot,2018.11.14,MOA,2
7263,DLSU,UP,1,-21,55,32,B. Bates,2,jump shot,2018.11.14,MOA,2
7267,DLSU,UP,0,-15,7,2,K. Samuel,2,jump shot,2018.11.14,MOA,0
7268,DLSU,UP,1,7,9,2,K. Samuel,2,jump shot,2018.11.14,MOA,2
7275,DLSU,UP,0,20,70,2,K. Samuel,3,jump shot,2018.11.14,MOA,0
7277,DLSU,UP,1,-21,4,2,K. Samuel,2,jump shot,2018.11.14,MOA,2
7280,DLSU,UP,0,-7,14,2,K. Samuel,2,jump shot,2018.11.14,MOA,0
7297,DLSU,UP,1,-8,18,2,K. Samuel,2,jump shot,2018.11.14,MOA,2
7310,DLSU,UP,1,10,17,2,K. Samuel,2,jump shot,2018.11.14,MOA,2
7313,DLSU,UP,0,-6,77,2,K. Samuel,3,jump shot,2018.11.14,MOA,0
7347,NU,UE,0,71,99,14,J. Galinato,3,jump shot,2018.11.18,MOA,0
7348,NU,UE,0,57,62,23,R. Morido,3,jump shot,2018.11.18,MOA,0
7351,NU,UE,0,9,4,23,R. Morido,2,jump shot,2018.11.18,MOA,0
7352,NU,UE,0,19,24,14,J. Galinato,2,jump shot,2018.11.18,MOA,0
7353,NU,UE,0,-69,0,23,R. Morido,3,jump shot,2018.11.18,MOA,0
7361,NU,UE,0,-10,26,27,J. Tibayan,2,jump shot,2018.11.18,MOA,0
7364,NU,UE,1,12,2,27,J. Tibayan,2,jump shot,2018.11.18,MOA,2
7366,NU,UE,0,-7,22,29,M. Malonzo,2,jump shot,2018.11.18,MOA,0
7367,NU,UE,1,-13,-2,7,M. Salim,2,jump shot,2018.11.18,MOA,2
7390,NU,UE,0,-4,2,7,M. Salim,2,jump shot,2018.11.18,MOA,0
7393,NU,UE,0,8,2,7,M. Salim,2,jump shot,2018.11.18,MOA,0
7395,NU,UE,1,-50,69,7,M. Salim,3,jump shot,2018.11.18,MOA,3
7400,UE,NU,1,3,4,5,L. Guion,2,lay up,2018.11.18,MOA,2
7404,UE,NU,0,11,57,84,R. Gallardo,2,jump shot,2018.11.18,MOA,0
7406,UE,NU,0,-7,-1,5,L. Guion,2,jump shot,2018.11.18,MOA,0
7421,UE,NU,0,11,48,13,J. Strait,2,jump shot,2018.11.18,MOA,0
7457,UE,NU,0,9,5,84,R. Gallardo,2,jump shot,2018.11.18,MOA,0
7458,UE,NU,0,21,31,84,R. Gallardo,2,jump shot,2018.11.18,MOA,0
7536,FEU,ADU,1,-63,43,11,R. Ramirez,3,jump shot,2018.11.18,MOA,3
7537,FEU,ADU,0,-10,-3,11,R. Ramirez,2,jump shot,2018.11.18,MOA,0
7542,FEU,ADU,0,9,-3,11,R. Ramirez,2,jump shot,2018.11.18,MOA,0
7546,FEU,ADU,0,-10,22,0,K. Bayquin,2,jump shot,2018.11.18,MOA,0
7547,FEU,ADU,0,-1,30,1,J. Nunag,2,jump shot,2018.11.18,MOA,0
7550,FEU,ADU,0,-72,-7,0,K. Bayquin,3,jump shot,2018.11.18,MOA,0
7551,FEU,ADU,0,-33,-4,0,K. Bayquin,2,jump shot,2018.11.18,MOA,0
7552,FEU,ADU,1,-4,-3,1,J. Nunag,2,lay up,2018.11.18,MOA,2
7553,FEU,ADU,0,2,35,11,R. Ramirez,2,jump shot,2018.11.18,MOA,0
7554,FEU,ADU,1,7,6,23,C. Jopia,2,jump shot,2018.11.18,MOA,2
7560,ADU,FEU,0,-11,20,20,K. Bernardo,2,jump shot,2018.11.18,MOA,0
7563,ADU,FEU,0,-14,2,17,J. Colonia,2,jump shot,2018.11.18,MOA,0
7568,ADU,FEU,1,12,16,25,K. Zaldivar,2,jump shot,2018.11.18,MOA,2
7570,ADU,FEU,0,-7,-8,25,K. Zaldivar,2,jump shot,2018.11.18,MOA,0
7572,ADU,FEU,0,26,32,28,M. Macion,2,jump shot,2018.11.18,MOA,0
7577,ADU,FEU,0,12,4,28,M. Macion,2,jump shot,2018.11.18,MOA,0
7584,ADU,FEU,0,-7,3,17,J. Colonia,2,jump shot,2018.11.18,MOA,0
7600,ADU,FEU,1,0,2,25,K. Zaldivar,2,tip in,2018.11.18,MOA,2
7609,ADU,FEU,1,-26,9,20,K. Bernardo,2,jump shot,2018.11.18,MOA,2
7610,ADU,FEU,0,-30,5,0,I. Maata,2,jump shot,2018.11.18,MOA,0
7611,ADU,FEU,0,-3,5,17,J. Colonia,2,jump shot,2018.11.18,MOA,0
7612,ADU,FEU,1,11,37,20,K. Bernardo,2,jump shot,2018.11.18,MOA,2
7614,ADU,FEU,1,-1,6,20,K. Bernardo,2,lay up,2018.11.18,MOA,2
7615,ADU,FEU,1,-7,-1,28,M. Macion,2,jump shot,2018.11.18,MOA,2
7616,ADU,FEU,0,8,6,9,W. Magbuhos,2,jump shot,2018.11.18,MOA,0
7617,ADU,FEU,0,4,0,17,J. Colonia,2,jump shot,2018.11.18,MOA,0
7618,ADU,FEU,0,-14,7,28,M. Macion,2,jump shot,2018.11.18,MOA,0
