p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
2,R. Subido,UST,0.08309805855474214,0.4141003920988836,0.1150784429388182,0.10212384374314633,0.2855992626644097
8,M. Lee,UST,0.05090222721723993,0.2514774513527061,0.06510402806115588,0.06190721620942391,0.5706090771594742
21,C. Cansino,UST,0.591497350177,0.07119577724818109,7.105937660922027e-36,0.008031263940423295,0.32927560863439553
23,Z. Huang,UST,0.1969798254022581,0.030602235311591886,0.15656109918022826,0.6077992647493559,0.008057575356565944
37,K. Zamora,UST,0.08627983542522265,0.6522265845259055,4.448737795570145e-43,1.0182099359181874e-05,0.2614833979495127
48,G. Mahinay,UST,0.6271961612699272,6.297812516569585e-23,0.3728035097059645,3.290240284279272e-07,7.98267206578008e-14
59,J. Marcos,UST,0.32999872533944896,0.10834023439322364,2.4554638298714078e-21,0.4506185435505494,0.11104249671677792
63,E. Caunan,UST,0.4305430769811439,3.293032605689238e-27,0.5693527457353478,5.0417163191588855e-09,0.00010417224179208289
78,I. Batalier,UST,0.25307163673768546,0.2421799520436423,0.13870368757701776,0.3660447236416544,2.9457997901543934e-26
80,S. Akomo,UST,0.9707314547854312,5.3620762598126965e-14,0.029268545214265845,2.4932663832473884e-13,1.049245475727198e-80
