team,ssce,prla,eppa,elpts,ppa,pts,fga,fg
NU,-0.055,-52.596,0.907,876.596,0.852,824.0,967.0,373.0
UST,-0.078,-74.124,0.902,854.124,0.824,780.0,947.0,330.0
FEU,0.035,32.576,0.917,853.424,0.952,886.0,931.0,386.0
DLSU,-0.008,-7.635,0.9,862.635,0.892,855.0,959.0,385.0
ADMU,-0.004,-3.502,0.924,924.502,0.92,921.0,1001.0,403.0
ADU,-0.021,-20.666,0.896,878.666,0.875,858.0,981.0,385.0
UP,0.027,24.779,0.962,890.221,0.989,915.0,925.0,417.0
UE,-0.067,-60.201,0.922,832.201,0.855,772.0,903.0,347.0
