team,opp_ssce,opp_prla,opp_eppa,opp_elpts,opp_ppa,opp_pts,opp_fga,opp_fg
NU,-0.031,-32.326,0.926,940.326,0.895,908.0,1015.0,406.0
UST,0.032,32.169,0.933,933.831,0.965,966.0,1001.0,440.0
FEU,-0.016,-16.106,0.898,883.106,0.882,867.0,983.0,382.0
DLSU,-0.075,-74.635,0.907,905.635,0.832,831.0,999.0,365.0
ADMU,-0.101,-90.161,0.916,816.161,0.815,726.0,891.0,328.0
ADU,-0.082,-76.732,0.92,861.732,0.838,785.0,937.0,352.0
UP,0.059,52.652,0.901,798.348,0.96,851.0,886.0,373.0
UE,0.048,43.783,0.924,833.217,0.972,877.0,902.0,380.0
