player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg
A. Beltran,UE,-0.087,-1.3,1.02,15.3,0.933,14.0,15.0,7.0
C. Lacap,UE,-0.353,-3.526,0.753,7.526,0.4,4.0,10.0,2.0
J. Sobrevega,UE,0.071,0.355,0.929,4.645,1.0,5.0,5.0,2.0
R. Morido,NU,-0.403,-6.849,0.991,16.849,0.588,10.0,17.0,5.0
M. Salim,NU,0.062,0.743,1.021,12.257,1.083,13.0,12.0,6.0
M. Malonzo,NU,-0.099,-0.687,0.67,4.687,0.571,4.0,7.0,2.0
T. Agustin,UST,-0.126,-3.031,0.918,22.031,0.792,19.0,24.0,9.0
F. Tungcab,UP,-0.269,-2.688,0.969,9.688,0.7,7.0,10.0,3.0
S. Gagate,UE,-0.285,-2.559,0.729,6.559,0.444,4.0,9.0,2.0
J. Strait,UE,0.303,5.15,0.932,15.85,1.235,21.0,17.0,9.0
J. Antiporda,UE,-0.398,-9.948,0.878,21.948,0.48,12.0,25.0,4.0
J. Tibayan,NU,-0.011,-0.135,1.011,12.135,1.0,12.0,12.0,6.0
J. Lagumen,UST,-0.523,-3.138,0.856,5.138,0.333,2.0,6.0,1.0
M. Daves,ADMU,0.316,2.842,1.24,11.158,1.556,14.0,9.0,7.0
B. Andrade,ADMU,0.18,2.712,0.953,14.288,1.133,17.0,15.0,6.0
R. Gallardo,UE,0.159,2.387,0.841,12.613,1.0,15.0,15.0,7.0
K. Zaldivar,ADU,0.002,0.041,0.931,13.959,0.933,14.0,15.0,7.0
R. Ramirez,FEU,0.089,1.337,0.911,13.663,1.0,15.0,15.0,6.0
K. Bayquin,FEU,-0.311,-2.795,0.755,6.795,0.444,4.0,9.0,2.0
L. Guion,UE,-0.372,-1.118,1.039,3.118,0.667,2.0,3.0,1.0
J. Nunag,FEU,1.0,3.998,1.0,4.002,2.0,8.0,4.0,3.0
D. Longa,UP,-0.979,-1.958,0.979,1.958,0.0,0.0,2.0,0.0
M. Macion,ADU,-0.517,-2.587,0.917,4.587,0.4,2.0,5.0,1.0
W. Magbuhos,ADU,-0.786,-1.571,0.786,1.571,0.0,0.0,2.0,0.0
D. Ando,UST,-0.129,-0.389,0.796,2.389,0.667,2.0,3.0,1.0
C. Jopia,FEU,1.05,1.05,0.95,0.95,2.0,2.0,1.0,1.0
I. Maata,ADU,-0.662,-0.662,0.662,0.662,0.0,0.0,1.0,0.0
