"","rank","sparseness.basis","sparseness.coef","rss","evar","silhouette.coef","silhouette.basis","residuals","niter","cpu","cpu.all","nrun","cophenetic","dispersion","silhouette.consensus"
"1",1,2.39738340253229e-05,NA,0.00035949690358272,0.651730115011997,NA,NA,1.56357004409294,60,0.129,30.0720000000003,30,NA,1,NA
"2",2,0.148267133756049,0.763421592954893,0.000202473501719327,0.803849706481039,1,1,1.08511548396881,2000,3.833,126.837,30,1,1,1
"3",3,0.188576836048037,0.797357737512434,0.000163526107985317,0.841580780660388,0.885193099686855,0.711239007599575,0.960535649418815,2000,3.917,153.318000000001,30,0.998587578513878,0.989573495812167,0.993309659092984
"4",4,0.254111603137158,0.786907173822699,0.000153504114600641,0.851289789134862,0.809958168214154,0.572953165001032,0.877130358404674,2000,6.038,180.111,30,0.985594891777935,0.930117714116497,0.931962460473382
"5",5,0.274955814169002,0.787151909867123,0.000144700051802748,0.859818902758628,0.795136071460336,0.439527528284178,0.828468244724087,2000,7.529,210.109,30,0.927372964597297,0.73385469978659,0.690400871994485
"6",6,0.308468751135404,0.787157897942882,0.000138630114493296,0.865699277102829,0.774061325503135,0.408874497041292,0.785137961368448,2000,8.05,236.380999999999,30,0.903293708929357,0.695235780868043,0.484706698808384
