p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
3,D. Ildefonso,NU,0.3089387568504389,0.26436566332984673,0.11052374704093088,0.09456755214007784,0.2216042806387055
10,J. Clemente,NU,0.24467971910113706,0.2764476337670693,0.1237820381276672,0.0014769792627452945,0.3536136297413812
29,S. Ildefonso,NU,0.6818303246607086,0.09418752711572403,0.17311998226693698,2.696832072792496e-08,0.050862138988309616
32,T. Rike,NU,0.3529339558445067,0.1826793886451944,0.4546534578835292,2.737739829303137e-14,0.009733197626742284
36,I. Gaye,NU,0.3612552828786919,5.836365779332589e-15,0.5058226297498779,0.13292208648475412,8.866702653251998e-10
44,J. Gallego,NU,0.09524846368056206,0.1157492851969424,0.35108435724628106,0.37490549220650893,0.06301240166970548
50,D. Yu,NU,1.0759392709317212e-41,0.15684753876120974,0.1620160531809928,0.00011847456713096157,0.6810179334906665
53,A. Joson,NU,0.3340294061073536,0.00019792529310787087,0.057179720152255815,0.4687401435084507,0.13985280493883193
65,A. Diputado,NU,0.5620653877875066,0.1518088998267013,0.16559237819119355,6.2512794326156915e-25,0.12053333419459845
74,J. Sinclair,NU,0.3814377061827193,5.805696470299294e-12,0.2600652796462811,0.23291347472111298,0.12558353944408085
75,M. Aquino,NU,0.2768222985214477,0.32033453610507945,0.3071088412984372,3.1609289443620545e-06,0.09573116314609124
