p_id_retained,b1,b2,b3,b4,b5,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
18,0.00673872526195429,0.0046166196840274456,0.008953784345313038,0.0027261154783369927,0.00818656132637462,H. Cani,FEU,0.2158339348221193,0.1478652346322131,0.28677983322874856,0.0873144708526549,0.26220652646426407
19,0.003991010321143014,0.007481859036391916,0.003994723469711879,0.009921355588591828,0.008783198419980091,W. Comboy,FEU,0.11679132541241738,0.21894612218362425,0.11689998550294975,0.29033457090827003,0.2570279959927386
20,0.006651189804506721,0.017372289932647198,0.0021295173324174265,0.0031295157654884073,1.0252772057384565e-10,A. Tolentino,FEU,0.22713862770872897,0.593264996405,0.0727231756699387,0.10687319671500303,3.5013293016337927e-09
26,0.009006221812357251,0.005950417360714552,0.008300670034953666,0.0008551828002888041,0.005345731690261893,J. Parker,FEU,0.3057286109478678,0.20199511761471756,0.28177768353883714,0.02903035868826465,0.18146822921031297
28,0.01316461688044036,0.0057090095256298115,0.0049743770356120215,0.003442760769980124,0.001898021515435575,R. Escoto,FEU,0.45101625684342084,0.19558914094633809,0.1704208281262614,0.11794806410134355,0.06502570998263608
46,0.0038151599251174226,0.009038452108700485,0.0010526834525448677,0.009671304300077805,0.010331115491668028,A. Inigo,FEU,0.1125126650722884,0.266552478752732,0.031044628022945997,0.28521588685259264,0.3046743412994409
47,0.004988899363841162,0.0017569135951103914,2.642882393289436e-31,0.000990521443050573,0.02409466277831879,K. Tuffin,FEU,0.15673085375174742,0.055195053587469116,8.30285767774615e-30,0.031118140516909396,0.756955952143874
51,0.003331068088345913,0.00862689580654522,0.0018937970558414905,3.0714775453047915e-19,0.016367250960456818,B. Bienes,FEU,0.11023087380009573,0.28547908289982404,0.0626690595115143,1.0164056833928082e-17,0.5416209837885659
52,0.024837436777614026,4.465309614367989e-19,0.0002428686514460477,2.0502927540099264e-07,1.1152683543809878e-26,B. Ebona,FEU,0.9903082642147476,1.7803902443636068e-17,0.00968356094065584,8.174844596627874e-06,4.446753012597995e-25
54,0.02506484979789357,1.2217568613003285e-43,6.397035384944845e-41,3.7452079795071767e-16,6.658813647650294e-17,P. Orizu,FEU,0.9999999999999825,4.874383334237983e-42,2.5521937839349567e-39,1.4942072303269317e-14,2.6566341714961236e-15
58,0.01594057610617805,3.5036063820004354e-11,0.0013470288103236505,0.007331616948217806,0.0061129057858481176,A. Stockton,FEU,0.5186941909539616,1.1400467998321125e-09,0.04383129030648468,0.23856522474531647,0.19890929285419043
67,0.00886004121581235,0.004839579523487236,0.007949175580942169,0.008689653588138032,0.0022700777106641396,L. Gonzales,FEU,0.2717093307407703,0.1484145368360895,0.24377597399705092,0.26648408323297396,0.06961607519311531
