p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
18,H. Cani,FEU,0.21583763185150776,0.14787035667456264,0.2867830316903165,0.08730408420692477,0.26220489557668825
19,W. Comboy,FEU,0.11679380827375678,0.2189462469464406,0.11690120948843978,0.2903298822719681,0.25702885301939465
20,A. Tolentino,FEU,0.2271388189047148,0.5932630113807266,0.07272165902419322,0.10687650719378958,3.4965759984094805e-09
26,J. Parker,FEU,0.30572395136769354,0.2019937251302857,0.281772489131273,0.029044476957216993,0.18146535741353087
28,R. Escoto,FEU,0.4510173210171675,0.19558901939360346,0.17042159370334525,0.11794685433801297,0.06502521154787086
46,A. Inigo,FEU,0.11251407335301583,0.26654984609486937,0.031045568087645727,0.2852151532498485,0.3046753592146205
47,K. Tuffin,FEU,0.15672901454241356,0.055195550119622745,8.288627547771397e-30,0.031121156469365575,0.7569542788685982
51,B. Bienes,FEU,0.11023101673382107,0.28548159374206294,0.06266826318378879,1.0151436186647765e-17,0.5416191263403272
52,B. Ebona,FEU,0.9903075151610166,1.7920636163506412e-17,0.009684324661346385,8.160177636983099e-06,4.493917998407584e-25
54,P. Orizu,FEU,0.9999999999999823,4.8744394795299713e-42,2.549188934737542e-39,1.494193195458575e-14,2.65667841107361e-15
58,A. Stockton,FEU,0.5186999732551607,1.1398082449297146e-09,0.04383359663612933,0.23855471795412525,0.19891171101477653
67,L. Gonzales,FEU,0.2717124325645913,0.14841394002506206,0.2437769532567729,0.26647995426237,0.06961671989120381
