p_id_retained,dist_1,dist_2,dist_3,dist_4,dist_5,player,team
0,0.15946880372678912,0.16277246997980513,0.16603906202802055,0.17095574298444305,0.18539478265447612,A. Pasaol,UE
1,0.10288800496679876,0.1265955437716037,0.15386367936246348,0.16477738275879594,0.16635269533482777,A. Melecio,DLSU
2,0.1477831288944653,0.20086013031065642,0.20531352744546577,0.21792396789233476,0.2427250541308184,R. Subido,UST
3,0.07182311861637475,0.1347051163415652,0.1434885743613633,0.15294708392615547,0.1562624656016626,D. Ildefonso,NU
4,0.20613050353520979,0.2134928722841134,0.22894147812626792,0.254069807513953,0.25729999627542643,J. Ahanmisi,ADU
5,0.11466528345009035,0.12628619504810287,0.1265955437716037,0.13260519088721456,0.1347051163415652,Ju. Gomez de Liaño,UP
6,0.03875588866631029,0.053834311929612286,0.05921564224336915,0.0711745634608947,0.17597985124363294,B. Akhuetie,UP
7,0.07182311861637475,0.14861978200641252,0.1498529226132677,0.1535429572716598,0.16273718890134023,P. Desiderio,UP
8,0.08342494371949426,0.09672115381638051,0.13617013676146403,0.15206869476354715,0.19221258205760355,M. Lee,UST
9,0.10206675616026879,0.14861978200641252,0.1535471996585066,0.1562624656016626,0.16360312556382045,S. Manganti,ADU
10,0.10964460732435242,0.14811032200357357,0.1498529226132677,0.1548273173233085,0.15526940837660339,J. Clemente,NU
11,0.06921823713523786,0.1068658440949183,0.16217226617309174,0.16436814361057578,0.1800848363096645,J. Baltazar,DLSU
12,0.10423488876155562,0.15602880208479564,0.16217226617309174,0.19285614592852393,0.2569941949989137,P. Sarr,ADU
13,0.06921823713523786,0.10951242867637562,0.1401957009590554,0.1654210337401015,0.18982836962762076,L. Santillian,DLSU
14,0.16578043694390712,0.20869565924214498,0.22022315357607908,0.22788487363483315,0.24220798785383807,T. Ravena,ADMU
15,0.11421719753619662,0.1442358167288106,0.16245937817397066,0.16277246997980513,0.16578043694390712,P. Manalang,UE
16,0.1867896448463035,0.19721223563069845,0.21228029263344433,0.21790358340119373,0.22760829115088943,A. Kouame,ADMU
17,0.12625136014755226,0.14759309462365072,0.1722271425679768,0.17474484473903168,0.1837974048052957,A. Caracut,DLSU
18,0.11466528345009035,0.1447309567631816,0.14696519193539642,0.16477738275879594,0.18175285977038041,H. Cani,FEU
19,0.10932501977497762,0.15710950335402235,0.1857888731893835,0.19632947458241518,0.20613050353520979,W. Comboy,FEU
20,0.19923253120993353,0.24076378300339718,0.2749139734608197,0.2887280856389681,0.30355771054134,A. Tolentino,FEU
21,0.13595809409303933,0.24897807743254147,0.26195583095831976,0.2791598105879235,0.28004196950311344,C. Cansino,UST
22,0.13492727243648733,0.15386367936246348,0.15420781247691398,0.15526940837660339,0.20113864419991798,J. Varilla,UE
23,0.2111726566936546,0.25747190464744923,0.2871385982202691,0.28906842671652694,0.3208376710635265,Z. Huang,UST
24,0.08861254110530974,0.14759309462365072,0.18235894391150292,0.18629028198879136,0.18792764414575738,R. Verano,ADMU
25,0.22514678641805866,0.22788487363483315,0.2284815478815295,0.23137268024043714,0.24588619970443507,J. Manzo,UP
26,0.12628619504810287,0.1447309567631816,0.1538687165920207,0.17357940344102016,0.18629028198879136,J. Parker,FEU
27,0.13595809409303933,0.19576593609719456,0.1959584129739386,0.19647513034081485,0.21186154890030343,Ja. Gomez de Liaño,UP
28,0.10951242867637562,0.12558562069651114,0.16196912068021696,0.16436814361057578,0.17095574298444305,R. Escoto,FEU
29,0.12603362441633253,0.15024862161380412,0.16241219686201983,0.21228029263344433,0.23305953641281688,S. Ildefonso,NU
30,0.06385039567733503,0.08342494371949426,0.15112874858820632,0.17401854305873887,0.19757932403658754,A. Asistio,ADMU
31,0.1535471996585066,0.18669669585277618,0.19117611802159631,0.22008779123724462,0.22223670244312244,F. Serrano,DLSU
32,0.21854211754574643,0.2294422111501956,0.23188978597962498,0.23199653337868897,0.23217878295351768,T. Rike,NU
33,0.1614279293695415,0.16245937817397066,0.17279619958440068,0.18283467772085496,0.2121048287333862,J. Lastimosa,ADU
34,0.13421525836110862,0.1847354713319659,0.18539478265447612,0.18669669585277618,0.1906091858565883,C. Conner,UE
35,0.18175285977038041,0.19464184066207696,0.23734879291128386,0.2500872111952031,0.2557290540867857,J. Espeleta,ADU
36,0.16280391825854656,0.1731833164085693,0.17827668662808205,0.23199653337868897,0.2922774865857139,I. Gaye,NU
37,0.10302076388051774,0.2414145263380878,0.2640463150382325,0.28454507368402315,0.3137013980564657,K. Zamora,UST
38,0.10210895945403116,0.12603362441633253,0.21120889542125143,0.21733055925654443,0.22760829115088943,S. Camacho,ADU
39,0.11421719753619662,0.1614279293695415,0.18717997254844274,0.19923253120993353,0.22022315357607908,I. Go,ADMU
40,0.08736056961082608,0.13421525836110862,0.16829928910939967,0.1702935919403982,0.18808907179559795,M. Nieto,ADMU
41,0.01345799622202039,0.06589518164764446,0.1731833164085693,0.21378742765747444,0.21854211754574643,W. Bartolome,UE
42,0.22894147812626792,0.3046124328280966,0.3207696895191576,0.3502227189408789,0.366369914538008,T. Tio,ADMU
43,0.1304390906310816,0.1434885743613633,0.1442358167288106,0.16196912068021696,0.16603906202802055,W. Navarro,ADMU
44,0.23562864107429665,0.2540999238225394,0.2869926151752268,0.2888321157919793,0.3000788320502099,J. Gallego,NU
45,0.1395338811650029,0.2111726566936546,0.2197995135476419,0.2388779703635552,0.3261560418149838,K. Montalbo,DLSU
46,0.10932501977497762,0.2185177871874444,0.24816674493348062,0.25200276215396367,0.2521595945649847,A. Inigo,FEU
