p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
3,D. Ildefonso,NU,0.3089386911263325,0.2643658900812795,0.11052375659942522,0.09456707315903176,0.22160458903393104
10,J. Clemente,NU,0.24467943011338306,0.2764477395140672,0.12378192594362045,0.001476974180800883,0.3536139302481284
29,S. Ildefonso,NU,0.6818301403734347,0.09418774972442648,0.1731199493737977,2.6978265720761574e-08,0.05086213355007526
32,T. Rike,NU,0.3529338187776866,0.18267966167574395,0.4546533729972863,2.737817987961759e-14,0.009733146549255894
36,I. Gaye,NU,0.3612553123513271,5.836475720598061e-15,0.5058227199422193,0.13292196681970767,8.867400287079128e-10
44,J. Gallego,NU,0.09524883301392743,0.11574913343749775,0.3510843063300394,0.3749049724100956,0.06301275480843999
50,D. Yu,NU,1.0759332144323191e-41,0.1568474129769664,0.1620155994834164,0.00011849289654377947,0.6810184946430734
53,A. Joson,NU,0.3340304107984474,0.00019794183348627564,0.057179847382426076,0.4687382101585189,0.13985358982712132
65,A. Diputado,NU,0.5620650722586128,0.15180898719854266,0.1655923948423927,6.24738778215978e-25,0.120533545700452
74,J. Sinclair,NU,0.38143799650932536,5.805687468782198e-12,0.26006534474657955,0.2329126827181736,0.12558397602011576
75,M. Aquino,NU,0.2768221056539073,0.32033474009252755,0.30710878150903376,3.160648518272347e-06,0.095731212096013
