dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7,dist_8,dist_9,dist_10,dist_11,dist_12,p_id_retained,player,team
0.22022315357607902,0.24220798785383804,0.3812956528505334,0.4093078704894149,0.4325886111796307,0.46094834554759145,0.4645773162935666,0.4881317040766078,0.5577541070202828,0.5581013606004177,0.6701291919834129,0.8767569017663692,14,T. Ravena,ADMU
0.4645773162935666,0.5173202429963588,0.550279155308338,0.5604208586131645,0.6252796859204304,0.728683777410722,0.8484582538645279,0.8703859767712108,0.8772855035919049,0.8890559794250433,0.905757830516406,0.9395924061997568,16,A. Kouame,ADMU
0.2150650389633744,0.3334522997177284,0.38089378053835116,0.3975039937587919,0.4325886111796307,0.4677312563892971,0.5222210166407563,0.5311819036765886,0.5604208586131645,0.5614298876687894,0.5788369958787483,0.7271686423836262,24,R. Verano,ADMU
0.2621663005878568,0.33869256255068164,0.422445907250712,0.4909665741706302,0.5054903383700566,0.5222210166407562,0.5822202555344722,0.606248923164947,0.6701291919834129,0.6820872395768482,0.7669371513299914,0.8703859767712108,30,A. Asistio,ADMU
0.18717997254844268,0.22022315357607902,0.2609769691586258,0.288103829337519,0.34808086569915114,0.35294430482364697,0.3808937805383511,0.382971366342068,0.3851041228426421,0.5054903383700566,0.6252796859204304,0.7831286396338327,39,I. Go,ADMU
0.29206837797768137,0.33869256255068164,0.34808086569915114,0.3915683918221591,0.39750399375879186,0.4093078704894149,0.4270380902186951,0.4964242632533477,0.550279155308338,0.6322524371748799,0.697702538736218,0.7127925140522623,40,M. Nieto,ADMU
0.3845281609354686,0.3851041228426421,0.40665820277151166,0.4419362018715545,0.4424152133697825,0.45359133429698356,0.467731256389297,0.5577541070202828,0.606248923164947,0.6322524371748799,0.6978663484529565,0.905757830516406,42,T. Tio,ADMU
0.18717997254844268,0.2150650389633743,0.24220798785383804,0.25905164028833916,0.29206837797768137,0.4084117377280373,0.4289948025132435,0.4424152133697825,0.4909665741706302,0.5173202429963588,0.5602589760840793,0.7036696098083423,43,W. Navarro,ADMU
0.18323179934834719,0.2621663005878568,0.35294430482364697,0.3915683918221591,0.4289948025132435,0.4419362018715545,0.4578840428712821,0.5206145394132718,0.5311819036765886,0.5581013606004177,0.7786743475657031,0.8890559794250433,49,J. Mendoza,ADMU
0.25905164028833916,0.288103829337519,0.3334522997177284,0.3812956528505334,0.3845281609354686,0.44269382350478215,0.4578840428712821,0.4964242632533477,0.5183697402036002,0.5822202555344722,0.728683777410722,0.8505218775954697,55,S. Belangel,ADMU
0.18323179934834719,0.2609769691586258,0.35176318345904267,0.40665820277151166,0.4084117377280373,0.422445907250712,0.4270380902186951,0.44269382350478215,0.46094834554759145,0.5614298876687894,0.8373332299234598,0.8484582538645279,60,A. Wong,ADMU
0.3517631834590426,0.3829713663420681,0.45359133429698356,0.4881317040766078,0.5183697402036002,0.5206145394132718,0.5602589760840793,0.697702538736218,0.7271686423836262,0.7669371513299914,0.9395924061997568,1.0446000384693825,70,J. Nieto,ADMU
0.5788369958787482,0.6820872395768482,0.6978663484529565,0.7036696098083423,0.7127925140522623,0.7786743475657031,0.7831286396338327,0.8373332299234598,0.8505218775954697,0.8767569017663692,0.8772855035919049,1.0446000384693825,76,G. Mamuyac,ADMU
0.3503128126931753,0.3547300537417811,0.465084043635021,0.4994686604140969,0.5424590327830203,0.5785113568236294,0.6287828329385811,0.8659203440468788,1.0029155303878161,,,,4,J. Ahanmisi,ADU
0.27743070897441213,0.3547300537417811,0.36114240603888087,0.38071204742279546,0.3823695079788762,0.4020047477045092,0.5886498132626656,0.7340799843919799,0.7677651903714034,,,,9,S. Manganti,ADU
0.31385974096319413,0.3686730787497576,0.3807120474227954,0.4910773456526796,0.529758634163727,0.5368320573551403,0.5785113568236294,0.7682764469327099,1.0079170555834622,,,,12,P. Sarr,ADU
0.27743070897441213,0.3503128126931753,0.4727055820128021,0.4906453742972653,0.49084195484920506,0.5368320573551404,0.5382343715871957,0.6773403438059616,0.779282363442263,,,,33,J. Lastimosa,ADU
0.361142406038881,0.49064537429726535,0.49107734565267974,0.49946866041409693,0.5975692208321829,0.6526075002034204,0.6582810440102622,0.7794767647950823,0.8520663406886917,,,,35,J. Espeleta,ADU
0.21120889542125135,0.3686730787497578,0.5886498132626657,0.5929033557910475,0.6582810440102622,0.6773403438059618,0.8659203440468788,0.918767131356617,1.1254895165988872,,,,38,S. Camacho,ADU
0.5382343715871957,0.6287828329385811,0.7677651903714034,0.7794767647950822,0.8226286742825327,0.9564210748391616,1.0079170555834622,1.1254895165988872,1.2204318545493025,,,,56,J. Pingoy,ADU
0.31385974096319424,0.3823695079788762,0.465084043635021,0.4727055820128021,0.5929033557910474,0.6526075002034203,0.6816516742430473,0.710154008691813,0.9564210748391615,,,,64,C. Catapusan,ADU
0.2112088954212511,0.5297586341637271,0.6816516742430473,0.7340799843919799,0.779282363442263,0.8520663406886917,1.0029155303878161,1.0400776296252754,1.2204318545493025,,,,68,V. Magbuhos,ADU
0.4020047477045092,0.49084195484920506,0.5424590327830203,0.5975692208321829,0.710154008691813,0.7682764469327099,0.8226286742825327,0.918767131356617,1.0400776296252752,,,,71,E. Mojica,ADU
0.10288800496679874,0.17474484473903168,0.31581822420065836,0.365811704597354,0.3880661123462033,0.4283939141057248,0.47059104730036866,0.5105429244280456,,,,,1,A. Melecio,DLSU
0.06921823713523786,0.10686584409491766,0.2740244680130919,0.29991700663748205,0.36970500872987444,0.38806611234620325,0.47852905890672015,0.7183040860080835,,,,,11,J. Baltazar,DLSU
