p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
14,T. Ravena,ADMU,0.4852315408973606,0.42396225829426215,0.08536392444617262,0.005442276362201599,2.966714236238074e-15
16,A. Kouame,ADMU,0.7753828493570575,0.08214523779697533,0.029141643181290908,0.11333026966467638,2.5938099087189906e-27
24,R. Verano,ADMU,0.288823134740083,0.15541796438242156,0.2659694755788523,0.1887977763166759,0.10099164898196726
30,A. Asistio,ADMU,0.10589050122535618,0.24539399603030065,0.09264250036743596,0.03413741311265466,0.5219355892642525
39,I. Go,ADMU,0.2994889409755431,0.4602560916815836,0.0949309893779618,0.03795435008577743,0.10736962787913404
40,M. Nieto,ADMU,0.386338885087646,0.2272994175898572,0.0438296035383851,2.601141238500714e-12,0.34253209378151045
42,T. Tio,ADMU,0.006392913037001558,0.5088960854168246,0.1874476284338105,0.2552564136108348,0.04200695950152847
43,W. Navarro,ADMU,0.344988540126018,0.30107810912356514,0.17537276798048532,0.07196988458766516,0.10659069818226637
49,J. Mendoza,ADMU,0.0759875480957014,0.4595180250199688,0.08672991479433803,6.116722790615845e-11,0.3777645120288245
55,S. Belangel,ADMU,0.2152571724974794,0.3977433662275927,0.3508396402079283,2.1243260832069566e-10,0.03615982085456687
60,A. Wong,ADMU,0.14378425753142474,0.5694910437546584,0.021107957802426785,5.468857306314838e-19,0.26561674091149
70,J. Nieto,ADMU,0.17706007845517335,0.7976771148796421,0.02526280666505001,1.3464616626494645e-13,6.435771959454772e-27
76,G. Mamuyac,ADMU,0.11366614036146648,1.1186996963709724e-05,4.539043756537216e-28,0.6127038468988002,0.2736188257427695
