p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
2,R. Subido,UST,0.08309700850182927,0.4140972260370493,0.11507833138147125,0.10212461632564354,0.2856028177540067
8,M. Lee,UST,0.050901577921177284,0.251471266175204,0.06510358477469387,0.061909471576661275,0.5706140995522635
21,C. Cansino,UST,0.5915024404138175,0.07119697655236497,7.141693155940056e-36,0.008023558808650936,0.3292770242251665
23,Z. Huang,UST,0.19697807609907853,0.030608510979944437,0.15656083583170066,0.6077953955724453,0.008057181516830951
37,K. Zamora,UST,0.08627918615323737,0.6522212960212692,4.4139928743921495e-43,1.018248471827428e-05,0.261489335340775
48,G. Mahinay,UST,0.6271958327335845,6.295709358685898e-23,0.3728038381599561,3.291063796406189e-07,7.98049539205982e-14
59,J. Marcos,UST,0.3299958386853194,0.10834269399251438,2.463507315021984e-21,0.4506202054050208,0.1110412619171454
63,E. Caunan,UST,0.4305425233259113,3.293018413252076e-27,0.5693533004969611,5.0568200760164994e-09,0.00010417112030750429
78,I. Batalier,UST,0.25307581127354034,0.2421914705767967,0.13870503297701328,0.3660276851726498,2.9458056227938646e-26
80,S. Akomo,UST,0.9707316191059252,5.3569243471641504e-14,0.029268380893771838,2.4945570863806066e-13,1.0526322474487514e-80
