p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
18,H. Cani,FEU,0.2158339348221193,0.1478652346322131,0.28677983322874856,0.0873144708526549,0.2622065264642641
19,W. Comboy,FEU,0.11679132541241738,0.21894612218362425,0.11689998550294975,0.29033457090827003,0.2570279959927386
20,A. Tolentino,FEU,0.22713862770872895,0.593264996405,0.0727231756699387,0.10687319671500303,3.501329301633793e-09
26,J. Parker,FEU,0.3057286109478678,0.2019951176147176,0.28177768353883714,0.02903035868826465,0.18146822921031294
28,R. Escoto,FEU,0.4510162568434208,0.19558914094633809,0.1704208281262614,0.11794806410134355,0.06502570998263607
46,A. Inigo,FEU,0.1125126650722884,0.26655247875273197,0.031044628022946,0.28521588685259264,0.3046743412994409
47,K. Tuffin,FEU,0.15673085375174742,0.055195053587469116,8.30285767774615e-30,0.0311181405169094,0.756955952143874
51,B. Bienes,FEU,0.11023087380009572,0.28547908289982404,0.0626690595115143,1.0164056833928082e-17,0.5416209837885659
52,B. Ebona,FEU,0.9903082642147476,1.7803902443636068e-17,0.00968356094065584,8.174844596627874e-06,4.446753012597995e-25
54,P. Orizu,FEU,0.9999999999999823,4.8743833342379826e-42,2.552193783934957e-39,1.4942072303269317e-14,2.6566341714961236e-15
58,A. Stockton,FEU,0.5186941909539616,1.1400467998321125e-09,0.04383129030648468,0.2385652247453165,0.19890929285419046
67,L. Gonzales,FEU,0.2717093307407703,0.1484145368360895,0.2437759739970509,0.266484083232974,0.06961607519311531
