p_id_retained,dist_1,dist_2,dist_3,dist_4,dist_5,player,team
0,0.1594684238124931,0.1627750292616388,0.16602483425413644,0.17095615191190633,0.1853956675620995,A. Pasaol,UE
1,0.10286813858778307,0.126595019540855,0.1538635098058842,0.1647759023591596,0.16635182418287894,A. Melecio,DLSU
2,0.14778511856503773,0.20085894878318467,0.20531464535339586,0.2179208397960914,0.24272821264867253,R. Subido,UST
3,0.07182309598388216,0.13470596970506385,0.14350143365052978,0.15294130086465807,0.15626175268718856,D. Ildefonso,NU
4,0.20612985561502686,0.21349309009318482,0.22893888907379467,0.2540711749105126,0.257299704874308,J. Ahanmisi,ADU
5,0.11466746602854976,0.12629455546794988,0.126595019540855,0.13257353252128712,0.13470596970506385,Ju. Gomez de Liaño,UP
6,0.038756485605655436,0.05383384065099307,0.0592169313751998,0.0711749240285336,0.17597831740564718,B. Akhuetie,UP
7,0.07182309598388216,0.14862013255206127,0.1498538316767359,0.15354239086199853,0.16272077356641895,P. Desiderio,UP
8,0.08342656271104165,0.09672542216867938,0.13617623277988825,0.15207615533188137,0.19221534871290874,M. Lee,UST
9,0.1020735447578271,0.14862013255206127,0.1535460748007679,0.15626175268718856,0.1636041851497922,S. Manganti,ADU
10,0.10964448508606933,0.14811111951975456,0.1498538316767359,0.15482680748941058,0.15527117798681542,J. Clemente,NU
11,0.06921768466334254,0.10687541794118995,0.16216854632367733,0.16435763333708095,0.18008916655854773,J. Baltazar,DLSU
12,0.1042407840314403,0.15602652190559196,0.16216854632367733,0.19286066367752977,0.25699746596057227,P. Sarr,ADU
13,0.06921768466334254,0.10950474076164018,0.14018098086349487,0.1654216452077324,0.18982912615932795,L. Santillian,DLSU
14,0.16578503184037677,0.2086988312650795,0.22021434201200968,0.22788437223600355,0.2421935277672061,T. Ravena,ADMU
15,0.11422005328372274,0.14422538089012796,0.16245923845034999,0.1627750292616388,0.16578503184037677,P. Manalang,UE
16,0.18676988927797983,0.19718212433420154,0.21226842969435847,0.21787470109803406,0.2275948740003891,A. Kouame,ADMU
17,0.12625196105132372,0.14759755641249955,0.17223944429326207,0.17474537011424304,0.1837883557238081,A. Caracut,DLSU
18,0.11466746602854976,0.14474746596480276,0.14694190043858615,0.1647759023591596,0.18176141455382516,H. Cani,FEU
19,0.10932607042996564,0.15714011980661954,0.18579004905075408,0.19633048449992394,0.20612985561502686,W. Comboy,FEU
20,0.19924147965459618,0.24076241832305784,0.27492251102146686,0.28872964419480796,0.303564513631433,A. Tolentino,FEU
21,0.1359533571659946,0.2489801804427055,0.26195641821327537,0.2791734360783714,0.2800407120234859,C. Cansino,UST
22,0.13492857788691626,0.1538635098058842,0.1542089246142348,0.15527117798681542,0.2011433863706542,J. Varilla,UE
23,0.21116896879968944,0.2574533683457519,0.2871417994448662,0.28906294281430556,0.3208355497228999,Z. Huang,UST
24,0.08862319510183547,0.14759755641249955,0.18236067420284374,0.18629877473790166,0.18793062282966339,R. Verano,ADMU
25,0.22514781509366244,0.22788437223600355,0.22848236587963952,0.23137479612783687,0.24588856240532223,J. Manzo,UP
26,0.12629455546794988,0.14474746596480276,0.1538615613299509,0.17358350969408665,0.18629877473790166,J. Parker,FEU
27,0.1359533571659946,0.19576681955362465,0.19595860576075164,0.19647664207286458,0.2118620905733171,Ja. Gomez de Liaño,UP
28,0.10950474076164018,0.12557830276819465,0.1619751896530735,0.16435763333708095,0.17095615191190633,R. Escoto,FEU
29,0.12603272703777352,0.15024866813315668,0.16241237272882814,0.21226842969435847,0.2330589106097632,S. Ildefonso,NU
30,0.06385090376627518,0.08342656271104165,0.15112980097569784,0.17402922557801076,0.19757763686297142,A. Asistio,ADMU
31,0.1535460748007679,0.18670095630176609,0.19117654208925625,0.22008548629282243,0.2222345463512933,F. Serrano,DLSU
32,0.21854176074409717,0.22944195289381092,0.23188960999417288,0.23200337308456886,0.23217735078109478,T. Rike,NU
33,0.16145818797082703,0.16245923845034999,0.1727936670579655,0.1828338771810711,0.21211653918626033,J. Lastimosa,ADU
34,0.13421580501692942,0.18473896009136956,0.1853956675620995,0.18670095630176609,0.19061071886442846,C. Conner,UE
35,0.18176141455382516,0.19463985689603286,0.23734603112256444,0.2500888558358107,0.25572949809936535,J. Espeleta,ADU
36,0.16282374216186932,0.17320133153242645,0.17829448785320118,0.23200337308456886,0.2922732462554412,I. Gaye,NU
37,0.1030228583243771,0.241417612046553,0.2640469133154765,0.28454356247637097,0.31370917686311706,K. Zamora,UST
38,0.10210992016190915,0.12603272703777352,0.21120951757579132,0.2173307733762308,0.2275948740003891,S. Camacho,ADU
39,0.11422005328372274,0.16145818797082703,0.1871800916704389,0.19924147965459618,0.22021434201200968,I. Go,ADMU
40,0.08735564488516599,0.13421580501692942,0.16830146510686367,0.17029390099599617,0.18809376405795183,M. Nieto,ADMU
41,0.013458099166216491,0.06589573140708647,0.17320133153242645,0.21378725829832868,0.21854176074409717,W. Bartolome,UE
42,0.22893888907379467,0.30461557274372936,0.3207739806377505,0.3502229500250485,0.366374398804189,T. Tio,ADMU
43,0.13045094864664353,0.14350143365052978,0.14422538089012796,0.1619751896530735,0.16602483425413644,W. Navarro,ADMU
44,0.23562413918156425,0.2540980678581884,0.28699581151644415,0.2888305834454698,0.30008404879284356,J. Gallego,NU
45,0.13954196849930886,0.21116896879968944,0.2197851054449085,0.23887279497456576,0.32615910081163224,K. Montalbo,DLSU
46,0.10932607042996564,0.2185368866494199,0.24816638013623496,0.25200295852401366,0.25215577121360794,A. Inigo,FEU
