p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
3,D. Ildefonso,NU,0.3089370907130332,0.2643631325968975,0.11052277995457208,0.09457037949608453,0.2216066172394128
10,J. Clemente,NU,0.24467929647120346,0.2764423805683383,0.1237823859742348,0.0014772175590725446,0.3536187194271509
29,S. Ildefonso,NU,0.6818298396185747,0.09418624496312697,0.17312047497866076,2.6922945948796744e-08,0.050863413516691686
32,T. Rike,NU,0.35293313829885103,0.1826793373950964,0.4546540047653205,2.7347254057684012e-14,0.009733519540704786
36,I. Gaye,NU,0.36124728240552695,5.8613582587047564e-15,0.5058145446357966,0.13293817207276168,8.859090074375108e-10
44,J. Gallego,NU,0.09524735413581907,0.11575512358060062,0.35108528975645203,0.3749015540962816,0.06301067843084672
50,D. Yu,NU,1.0759571141733456e-41,0.15684053878061532,0.1620148893421321,0.00011830742311912478,0.6810262644541334
53,A. Joson,NU,0.3340190961481627,0.00019807804250436165,0.057175779783920876,0.4687592572902225,0.1398477887351895
65,A. Diputado,NU,0.5620649729832528,0.15180713125799455,0.1655923902760874,6.277905223575091e-25,0.12053550548266538
74,J. Sinclair,NU,0.3814332473098103,5.805885364165119e-12,0.26006232410689045,0.23292185667328105,0.12558257190421238
75,M. Aquino,NU,0.2768215641230719,0.3203304960597573,0.3071098733791235,3.161478348003727e-06,0.0957349049596994
