,team,opponent,made,x,y,num,player,points,shot_type,date,venue,made_points
0,NU,UST,0,8,3,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
1,NU,UST,1,0,2,10,I. Gaye,2,dunk,2018.09.08,MOA,2
2,NU,UST,1,-1,16,8,A. Joson,2,jump shot,2018.09.08,MOA,2
3,NU,UST,0,4,8,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
4,NU,UST,0,62,43,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
5,NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA,2
6,NU,UST,0,0,24,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
7,NU,UST,0,-9,5,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
8,NU,UST,1,-28,7,10,I. Gaye,2,jump shot,2018.09.08,MOA,2
9,NU,UST,0,15,14,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
10,NU,UST,0,70,-2,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
11,NU,UST,0,7,11,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
12,NU,UST,0,30,23,15,D. Yu,2,jump shot,2018.09.08,MOA,0
13,NU,UST,0,-1,53,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
14,NU,UST,0,-52,17,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
15,NU,UST,0,63,6,19,J. Gallego,2,jump shot,2018.09.08,MOA,0
16,NU,UST,1,-9,2,5,A. Diputado,2,lay up,2018.09.08,MOA,2
17,NU,UST,1,-43,20,13,M. Aquino,2,jump shot,2018.09.08,MOA,2
18,NU,UST,0,1,8,19,J. Gallego,2,jump shot,2018.09.08,MOA,0
19,NU,UST,0,2,9,21,T. Rike,2,jump shot,2018.09.08,MOA,0
20,NU,UST,1,-2,8,13,M. Aquino,2,lay up,2018.09.08,MOA,2
21,NU,UST,0,70,-5,15,D. Yu,3,jump shot,2018.09.08,MOA,0
22,NU,UST,0,-11,11,13,M. Aquino,2,jump shot,2018.09.08,MOA,0
23,NU,UST,0,-1,22,8,A. Joson,2,jump shot,2018.09.08,MOA,0
24,NU,UST,0,6,7,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
25,NU,UST,1,-2,11,21,T. Rike,2,jump shot,2018.09.08,MOA,2
26,NU,UST,1,15,12,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
27,NU,UST,0,-9,3,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
28,NU,UST,0,56,48,15,D. Yu,3,jump shot,2018.09.08,MOA,0
29,NU,UST,1,61,42,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,3
30,NU,UST,1,-7,4,10,I. Gaye,2,lay up,2018.09.08,MOA,2
31,NU,UST,0,11,8,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,0
32,NU,UST,0,15,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
33,NU,UST,1,57,45,15,D. Yu,3,jump shot,2018.09.08,MOA,3
34,NU,UST,0,41,20,15,D. Yu,2,jump shot,2018.09.08,MOA,0
35,NU,UST,1,0,75,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,3
36,NU,UST,0,-3,15,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
37,NU,UST,1,10,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
39,NU,UST,0,-30,13,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
40,NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA,2
41,NU,UST,1,-7,3,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,2
42,NU,UST,0,40,63,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
43,NU,UST,1,-6,4,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,2
44,NU,UST,0,70,20,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
45,NU,UST,1,3,12,0,S. Ildefonso,2,lay up,2018.09.08,MOA,2
46,NU,UST,0,7,0,8,A. Joson,2,jump shot,2018.09.08,MOA,0
47,NU,UST,1,7,12,0,S. Ildefonso,2,jump shot,2018.09.08,MOA,2
48,NU,UST,0,16,14,9,J. Clemente,2,jump shot,2018.09.08,MOA,0
49,NU,UST,1,70,-3,9,J. Clemente,3,jump shot,2018.09.08,MOA,3
50,NU,UST,0,60,50,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
51,NU,UST,1,-10,9,0,S. Ildefonso,2,lay up,2018.09.08,MOA,2
52,NU,UST,1,-21,4,21,T. Rike,2,jump shot,2018.09.08,MOA,2
53,NU,UST,0,-24,75,15,D. Yu,3,jump shot,2018.09.08,MOA,0
56,NU,UST,1,7,1,6,J. Sinclair,2,lay up,2018.09.08,MOA,2
57,NU,UST,1,-21,17,6,J. Sinclair,2,jump shot,2018.09.08,MOA,2
58,NU,UST,0,-1,18,6,J. Sinclair,2,jump shot,2018.09.08,MOA,0
59,NU,UST,0,-12,5,21,T. Rike,2,jump shot,2018.09.08,MOA,0
60,NU,UST,1,-7,3,21,T. Rike,2,lay up,2018.09.08,MOA,2
61,NU,UST,0,-21,46,6,J. Sinclair,2,jump shot,2018.09.08,MOA,0
62,NU,UST,0,43,9,21,T. Rike,2,jump shot,2018.09.08,MOA,0
63,NU,UST,1,-7,3,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
64,NU,UST,0,-13,6,21,T. Rike,2,jump shot,2018.09.08,MOA,0
65,NU,UST,1,0,8,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
66,NU,UST,1,-5,5,1,D. Ildefonso,2,lay up,2018.09.08,MOA,2
67,NU,UST,0,-68,8,1,D. Ildefonso,3,jump shot,2018.09.08,MOA,0
68,NU,UST,0,26,4,8,A. Joson,2,jump shot,2018.09.08,MOA,0
69,NU,UST,1,-60,47,19,J. Gallego,3,jump shot,2018.09.08,MOA,3
70,NU,UST,0,-5,15,1,D. Ildefonso,2,jump shot,2018.09.08,MOA,0
71,NU,UST,0,-69,2,9,J. Clemente,3,jump shot,2018.09.08,MOA,0
72,NU,UST,0,10,4,8,A. Joson,2,jump shot,2018.09.08,MOA,0
73,NU,UST,0,-35,68,0,S. Ildefonso,3,jump shot,2018.09.08,MOA,0
74,NU,UST,1,-8,6,9,J. Clemente,2,lay up,2018.09.08,MOA,2
75,UST,NU,0,0,46,6,M. Lee,2,jump shot,2018.09.08,MOA,0
76,UST,NU,0,-7,14,27,C. Cansino,2,jump shot,2018.09.08,MOA,0
77,UST,NU,1,-4,13,11,E. Caunan,2,jump shot,2018.09.08,MOA,2
78,UST,NU,0,66,38,6,M. Lee,3,jump shot,2018.09.08,MOA,0
79,UST,NU,0,34,-1,11,E. Caunan,2,jump shot,2018.09.08,MOA,0
80,UST,NU,1,8,2,27,C. Cansino,2,lay up,2018.09.08,MOA,2
