player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
M. Lee,UST,0.031,5.371,0.878,153.629,0.909,159,175,58,15,38,44,138,39.5,31.9,33.5,46,117,0.0303142857142857,0.204611038080619,-0.143982466652047,0.174296752366333,0.902986206333568,0.95025586361441,0.0878511856685146,0.34506404761194,1.984,TRUE,104.853917777143,42,-33,35.897,7.155
D. Ildefonso,NU,0.025,5.044,0.913,177.956,0.938,183,195,80,57,110,23,85,51.8,27.1,41,46.9,122,0.0258,0.183669982071908,-0.132069982071908,0.157869982071908,0.775583514744649,0.880672194828842,0.0797323141777314,0.32358273136898,1.98,TRUE,93.9268133641025,49,-24,40.164,8.348
H. Cani,FEU,0.034,4.145,0.874,104.855,0.908,109,120,49,38,79,11,41,48.1,26.8,40.8,45.4,95,0.034425,0.234923155327668,-0.166073155327668,0.200498155327668,0.967272038641401,0.983499892547732,0.100904959903205,0.341162615128363,1.987,TRUE,91.0361542916667,38,-19,40,6.474
R. Verano,ADMU,0.041,3.864,0.876,84.136,0.917,88,96,40,32,72,8,24,44.4,33.3,41.7,45.8,82,0.0387083333333333,0.267025011069222,-0.189608344402556,0.228316677735889,1.07940138816015,1.03894243736607,0.114731998862256,0.337380449370585,1.99,TRUE,87.5543759166667,31,-20,37.805,5.281
S. Manganti,ADU,0.021,3.566,0.892,153.434,0.913,157,172,71,56,106,15,66,52.8,22.7,41.3,45.6,117,0.0205930232558139,0.185033365635673,-0.143847319124045,0.164440342379859,0.803746825825003,0.896519283576769,0.0828832370866226,0.24845824052808,1.984,TRUE,93.2842482906977,48,-21,41.026,8.177
J. Sinclair,NU,0.1,3.501,0.9,31.499,1,35,35,17,16,30,1,5,53.3,20,48.6,50,29,0.0960857142857143,0.440351155605326,-0.248179727033897,0.344265441319611,0.821860732186589,0.906565349098778,0.168344959080495,0.570766804129672,2.045,TRUE,23.2798419714286,14,-1,48.276,2.385
J. Mendoza,ADMU,0.063,3.472,0.882,48.528,0.945,52,55,19,5,15,14,40,33.3,35,34.5,47.3,49,0.0645090909090909,0.399380703733867,-0.270362521915685,0.334871612824776,1.35332668921488,1.16332570212081,0.166189386017259,0.388166130551753,2.015,TRUE,65.1635908,18,-13,36.735,3.066
T. Rike,NU,0.024,2.062,0.874,76.938,0.898,79,88,39,38,75,1,13,50.7,7.7,44.3,44.9,67,0.0238977272727273,0.235260930399597,-0.187465475854143,0.21136320312687,0.748296260903847,0.865041190293183,0.105681601563435,0.226129495760742,2,TRUE,49.4258170113636,28,-11,41.791,4.77
W. Bartolome,UE,0.029,1.941,0.899,62.059,0.928,64,69,32,32,68,,1,47.1,0,46.4,46.4,48,0.0294202898550725,0.246727453641114,-0.187886873930969,0.217307163786042,0.558263486573087,0.747170319654821,0.107844746295802,0.272802253847182,2.015,TRUE,26.2799304347826,21,-6,43.75,3.578
C. Vito,UP,0.056,1.703,0.977,29.297,1.033,31,30,14,11,15,3,15,73.3,20,46.7,51.7,24,0.0537,0.434370295525165,-0.326970295525165,0.380670295525165,0.829180949565217,0.910593734639777,0.185874167736897,0.288905126806065,2.048,TRUE,19.1403704,11,-2,45.833,1.874
L. Santillian,DLSU,0.01,1.365,0.898,126.635,0.908,128,141,61,55,116,6,25,47.4,24,43.3,45.4,89,0.0082695035460993,0.183944033606064,-0.167405026513865,0.175674530059964,0.693587814840345,0.832819196969153,0.0882786583215902,0.0936750025807408,1.99,TRUE,61.0418139432624,38,-13,42.697,6.474
C. Cansino,UST,0.008,0.858,1.001,115.142,1.009,116,115,51,37,77,14,38,48.1,36.8,44.3,50.4,65,0.00700000000000001,0.243455069727845,-0.229455069727845,0.236455069727845,0.90855375,0.953180859018896,0.118227534863922,0.0592078656470074,2,TRUE,58.150625,27,-11,41.538,4.6
J. Cullar,UE,0.016,0.694,0.916,40.306,0.932,41,44,19,16,32,3,12,50,25,43.2,46.6,35,0.0163636363636364,0.329310210479933,-0.29658293775266,0.312946574116297,0.839219990884784,0.916089510301686,0.154847389468727,0.10567589430974,2.021,TRUE,28.5428515909091,12,-11,34.286,2.044
