player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg
J. Varilla,UE,-0.038,-4.247,0.858,95.247,0.82,91,111,39,26,57,13,54,45.6,24.1,35.1,0.41
Z. Huang,UST,-0.091,-9.242,0.893,90.242,0.802,81,101,40,39,90,1,11,43.3,9.1,39.6,0.401
J. Manzo,UP,-0.141,-13.449,0.953,91.449,0.812,78,96,37,33,74,4,22,44.6,18.2,38.5,0.406
R. Verano,ADMU,0.041,3.864,0.876,84.136,0.917,88,96,40,32,72,8,24,44.4,33.3,41.7,0.458
J. Parker,FEU,-0.209,-19.624,0.89,83.624,0.681,64,94,29,23,68,6,26,33.8,23.1,30.9,0.34
Ja. Gomez de Liaño,UP,0.09,8.41,0.953,89.59,1.043,98,94,43,31,64,12,30,48.4,40,45.7,0.521
R. Escoto,FEU,-0.164,-15.271,0.906,84.271,0.742,69,93,34,33,75,1,18,44,5.6,36.6,0.371
S. Ildefonso,NU,-0.222,-19.996,0.944,84.996,0.722,65,90,32,31,82,1,8,37.8,12.5,35.6,0.361
A. Asistio,ADMU,0.194,17.26,0.907,80.74,1.101,98,89,35,7,27,28,62,25.9,45.2,39.3,0.551
F. Serrano,DLSU,-0.102,-9.051,0.933,83.051,0.831,74,89,33,25,61,8,28,41,28.6,37.1,0.416
T. Rike,NU,0.024,2.062,0.874,76.938,0.898,79,88,39,38,75,1,13,50.7,7.7,44.3,0.449
C. Conner,UE,-0.02,-1.63,0.958,77.63,0.938,76,81,33,23,54,10,27,42.6,37,40.7,0.469
J. Lastimosa,ADU,0.173,13.965,0.889,72.035,1.062,86,81,37,25,42,12,39,59.5,30.8,45.7,0.531
J. Espeleta,ADU,-0.106,-8.534,0.844,67.534,0.738,59,80,27,22,54,5,26,40.7,19.2,33.8,0.369
I. Gaye,NU,-0.041,-3.224,0.851,67.224,0.81,64,79,32,32,79,,,40.5,0,40.5,0.405
K. Zamora,UST,-0.352,-26.767,0.865,65.767,0.513,39,76,14,3,12,11,64,25,17.2,18.4,0.257
S. Camacho,ADU,-0.048,-3.629,0.955,71.629,0.907,68,75,34,34,73,,2,46.6,0,45.3,0.453
I. Go,ADMU,-0.045,-3.25,0.935,68.25,0.89,65,73,28,19,37,9,36,51.4,25,38.4,0.445
M. Nieto,ADMU,-0.006,-0.485,0.95,67.485,0.944,67,71,28,17,39,11,32,43.6,34.4,39.4,0.472
W. Bartolome,UE,0.029,1.941,0.899,62.059,0.928,64,69,32,32,68,,1,47.1,0,46.4,0.464
T. Tio,ADMU,-0.033,-2.245,0.839,56.245,0.806,54,67,23,15,28,8,39,53.6,20.5,34.3,0.403
W. Navarro,ADMU,-0.227,-14.983,0.879,57.983,0.652,43,66,21,20,42,1,24,47.6,4.2,31.8,0.326
J. Gallego,NU,-0.136,-8.849,0.813,52.849,0.677,44,65,20,16,50,4,15,32,26.7,30.8,0.338
K. Montalbo,DLSU,-0.202,-12.322,0.874,53.322,0.672,41,61,19,16,37,3,24,43.2,12.5,31.1,0.336
A. Inigo,FEU,-0.091,-5.258,0.884,51.258,0.793,46,58,18,8,26,10,32,30.8,31.3,31,0.397
G. Mahinay,UST,-0.109,-6.217,0.916,52.217,0.807,46,57,23,23,57,,,40.4,0,40.4,0.404
K. Tuffin,FEU,0.21,11.983,0.948,54.017,1.158,66,57,25,9,15,17,43,60,39.5,44.8,0.595
J. Mendoza,ADMU,0.063,3.472,0.882,48.528,0.945,52,55,19,5,15,14,40,33.3,35,34.5,0.473
D. Yu,NU,-0.122,-6.489,0.896,47.489,0.774,41,53,15,4,12,11,41,33.3,26.8,28.3,0.387
B. Bienes,FEU,0.126,6.559,0.893,46.441,1.019,53,52,19,4,15,15,37,26.7,40.5,36.5,0.51
A. Joson,NU,-0.207,-10.561,0.991,50.561,0.784,40,51,19,17,41,2,10,41.5,20,37.3,0.392
B. Ebona,FEU,0.165,8.418,1.051,53.582,1.216,62,51,31,31,51,,,60.8,0,60.8,0.608
P. Orizu,FEU,0.35,17.866,1.101,56.134,1.451,74,51,37,37,51,,,72.5,0,72.5,0.725
J. Pingoy,ADU,-0.091,-4.547,0.871,43.547,0.78,39,50,14,3,15,11,35,20,31.4,28,0.39
M. Dyke,DLSU,-0.015,-0.745,0.935,46.745,0.92,46,50,22,20,45,2,5,44.4,40,44,0.46
S. Belangel,ADMU,-0.021,-1.06,0.821,41.06,0.8,40,50,18,14,31,4,19,45.2,21.1,36,0.4
A. Stockton,FEU,-0.021,-1.044,0.98,48.044,0.959,47,49,22,19,40,3,9,47.5,33.3,44.9,0.48
J. Marcos,UST,-0.093,-4.424,0.926,44.424,0.833,40,48,18,14,36,4,12,38.9,33.3,37.5,0.417
A. Wong,ADMU,-0.4,-18.778,0.868,40.778,0.468,22,47,9,5,15,4,32,33.3,12.5,19.1,0.234
J. Manuel,DLSU,-0.204,-9.378,0.9,41.378,0.696,32,46,13,7,27,6,19,25.9,31.6,28.3,0.348
E. Caunan,UST,-0.131,-5.756,0.858,37.756,0.727,32,44,16,16,44,,,36.4,0,36.4,0.364
J. Cullar,UE,0.016,0.694,0.916,40.306,0.932,41,44,19,16,32,3,12,50,25,43.2,0.466
A. Diputado,NU,-0.137,-5.875,0.951,40.875,0.814,35,43,17,16,33,1,10,48.5,10,39.5,0.407
C. Catapusan,ADU,-0.312,-13.381,0.986,42.381,0.674,29,43,14,13,37,1,6,35.1,16.7,32.6,0.337
M. Maloles,UE,-0.218,-9.149,0.908,38.149,0.69,29,42,12,7,17,5,25,41.2,20,28.6,0.345
L. Gonzales,FEU,0.014,0.549,0.913,37.451,0.927,38,41,17,13,32,4,9,40.6,44.4,41.5,0.463
V. Magbuhos,ADU,0.013,0.499,0.987,37.501,1,38,38,19,19,37,,1,51.4,0,50,0.5
