team,opp_ssce,opp_prla,opp_eppa,opp_elpts,opp_ppa,opp_pts,opp_fga,opp_fg
NU,-0.03185240689655178,-32.33019300000001,0.9264336876847291,940.330193,0.8945812807881773,908.0,1015.0,406.0
UST,0.03214055044955044,32.172690999999986,0.9328944145854146,933.827309,0.965034965034965,966.0,1001.0,440.0
FEU,-0.01639007222787392,-16.111441000000013,0.8983839684638861,883.111441,0.8819938962360122,867.0,983.0,382.0
DLSU,-0.07470600800800797,-74.631302,0.9065378398398398,905.631302,0.8318318318318318,831.0,999.0,365.0
ADMU,-0.10120063075196417,-90.16976199999999,0.9160154455667789,816.169762,0.8148148148148148,726.0,891.0,328.0
ADU,-0.08189823479188907,-76.73864600000002,0.9196783842049093,861.738646,0.8377801494130203,785.0,937.0,352.0
UP,0.0594181241534989,52.644457999999986,0.9010784898419865,798.355542,0.9604966139954854,851.0,886.0,373.0
UE,0.04853999002217291,43.78307099999995,0.9237438237250555,833.216929,0.9722838137472284,877.0,902.0,380.0
