0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.88598,0.886747,0.875,0.816239,0.72549,0.651584,0.624113,0.590917,0.615717,0.648649,0.717201,0.781651,0.839411,0.929577,0.951062,0.951941,0.950649,0.844607,0.919957,0.746082,0.683333,0.635845,0.533229,0.615385,0.733843,0.667823,0.782609,0.840416,0.808647,0.880739
0.776022,0.989595,0.888264,0.860215,0.691176,0.680272,0.674074,0.633299,0.620552,0.646311,0.663452,0.951827,1.099845,0.925834,1.134225,1.193424,1.06943,1.085937,1.006036,0.833046,0.680115,0.563499,0.584838,0.639886,0.643836,0.607407,0.655094,0.930818,1.364494,0.858668
0.801806,1.033179,0.849845,0.829864,0.69521,0.625874,0.727989,0.558542,0.624373,0.685168,0.589745,0.860125,0.929414,1.122439,1.291938,1.035337,1.164699,0.949144,0.946809,0.740214,0.683171,0.611179,0.599079,0.58835,0.567396,0.631579,0.776218,0.911528,0.893928,0.874897
0.878394,0.997127,0.882888,0.809872,0.608983,0.72298,0.709964,0.586223,0.656841,0.688307,0.852652,0.868967,0.876892,1.281761,1.334743,1.362579,1.305853,1.087672,0.923495,0.668485,0.731327,0.705278,0.599055,0.566875,0.541691,0.709227,0.801009,0.830355,0.600497,1.287037
0.855352,0.575325,0.867752,0.781419,0.624381,0.474906,0.576154,0.556596,0.583961,0.664554,0.621808,0.907541,0.939459,1.026163,1.025039,1.077072,0.950965,0.858896,0.864878,0.870318,0.672315,0.577384,0.596875,0.768305,0.673938,0.602093,0.738106,0.886422,0.886441,0.996058
0.831125,0.958806,0.856574,0.775443,0.712109,0.641745,0.518782,0.547928,0.645913,0.696135,0.858982,0.938972,0.923635,0.984495,0.999246,0.91255,1.094808,1.014916,0.853223,0.761183,0.695346,0.666409,0.624724,0.625505,0.48101,0.664495,0.652895,0.962547,0.981873,0.773942
0.977334,1.134207,0.834861,0.870657,0.615405,0.450576,0.712138,0.635584,0.625687,0.715395,0.766033,0.896918,0.972807,0.893491,0.929886,0.819665,0.830558,0.976739,0.636937,0.705308,0.715334,0.592311,0.628491,0.67094,0.435587,0.667628,0.758558,0.812568,0.906167,0.901056
0.937433,0.953896,0.820751,0.981379,0.723225,0.615986,0.709885,0.638135,0.595474,0.692556,0.753302,0.850114,0.912217,0.667644,0.700196,0.790465,0.865952,0.850906,0.920927,0.674973,0.575392,0.623267,0.564323,0.634062,0.51442,0.68704,0.77058,0.864198,0.963893,1.283054
0.7798,1.325177,1.202413,1.0553,0.798583,0.662723,0.579666,0.646039,0.71316,0.715792,0.755997,0.847211,0.76977,0.76989,0.725653,0.731695,0.720007,0.756091,0.655101,0.650146,0.587624,0.684403,0.544834,0.605918,0.56288,0.804704,0.819173,1.006249,0.759528,1.040781
0.717574,1.340568,0.719296,0.86984,0.772663,0.676322,0.647728,0.571024,0.511057,0.745268,0.660233,0.74589,0.665878,0.743533,0.703953,0.588838,0.644103,0.749297,0.669188,0.642383,0.669738,0.605847,0.833356,0.756178,0.802673,0.821549,0.842,0.848545,0.890567,0.881915
0.6505,1.233904,1.046068,1.06682,0.815122,0.655288,0.743936,0.66307,0.774024,0.714427,0.635996,0.706467,0.68639,0.704542,0.745092,0.695799,0.669299,0.603335,0.741254,0.653823,0.680164,0.598769,0.621204,0.68383,1.050386,0.944954,0.739441,1.020754,0.972876,0.644559
0.595589,0.897895,1.086344,0.66898,0.700571,0.679787,0.78595,0.690228,0.669671,0.457338,0.597485,0.630062,0.770005,0.748489,0.794234,0.688283,0.66661,0.744427,0.539332,0.787334,0.653324,0.705513,0.758893,0.892282,0.998541,0.83953,0.963529,0.867866,0.661191,0.941244
0.67427,1.034326,0.829139,0.757781,0.765232,0.757859,0.83647,0.773596,0.662905,0.602622,0.616214,0.695442,0.757629,0.775466,0.947281,0.733032,0.783055,0.559,0.54247,0.536976,0.703859,0.675852,0.78769,0.908053,0.811,1.234684,1.193058,0.902643,0.688974,0.682176
0.69664,0.931131,0.773987,0.728253,1.008989,0.809628,0.902788,0.864238,0.845669,0.770502,0.705684,0.709085,0.746221,0.743618,0.87752,0.636886,0.845419,0.722188,0.735437,0.687882,0.795434,0.84022,0.836197,0.838595,1.081607,0.872432,0.826751,0.849069,0.88261,0.809392
0.566297,0.612357,0.785776,0.615765,0.943751,1.005759,0.994103,0.721203,0.785359,0.717677,0.860223,0.780391,0.769807,0.778402,0.786586,0.907927,0.914575,0.769727,0.841317,0.719963,0.766027,0.791011,0.839564,0.786202,0.893983,1.200581,0.830789,0.999518,0.819991,0.813793
0.621094,0.702273,0.694325,0.762267,0.691547,1.081702,0.864343,0.975963,0.993587,0.897379,1.080345,0.762108,0.716973,0.745192,0.738914,0.868993,1.05515,0.821504,0.674039,0.7368,0.810976,1.144888,1.025892,0.771205,0.825047,0.701444,0.905585,0.769506,0.611385,0.806557
0.39857,0.582289,0.765517,0.954381,0.759405,0.944363,0.856582,0.85602,0.668911,0.916641,1.203696,0.628175,0.773242,0.833333,0.732268,0.892216,0.87976,1.077551,0.878089,0.854302,0.861627,0.789629,0.839516,0.590547,0.755073,0.923349,0.979838,0.783872,0.719762,1.035124
0.5,0.493061,0.752542,0.771226,0.662623,0.770323,0.846814,0.707397,1.038401,0.866901,0.91471,0.643246,0.80171,1.032209,0.780153,0.750262,0.758671,0.99332,0.608192,0.816866,0.764072,0.810194,0.62242,0.80492,0.635363,0.703964,0.574003,0.561916,0.796875,0.563329
0.6,0.380999,0.69863,1.077599,0.677936,0.710684,0.666945,0.897993,0.583579,0.745026,0.810547,0.715099,0.710759,0.685648,1.002802,0.916023,0.852813,1.072424,0.90766,0.576545,0.917036,0.693387,0.776759,0.710669,0.783233,0.555723,0.444481,0.438404,0.6,0.514286
0.6,0.45283,0.591549,0.64486,0.350253,0.652174,0.479621,0.667439,0.636243,0.498235,0.597136,0.739736,0.773728,0.598278,0.600647,0.742693,0.549472,1.005506,0.693861,0.571047,0.541697,0.67623,0.668317,0.613208,1.001896,0.581152,0.337965,0.6,0.517241,0.149238
