team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
NU,0.3135041716377722,0.6270083432755444,-0.4861770233480096,639,0.6242309647819136,0.049311821535880145
FEU,0.013921605692371653,0.027843211384743306,-2.2044376326853117,650,0.6582026406246295,0.051558290880272216
DLSU,0.0823622699823045,0.164724539964609,-1.3909734334085004,630,0.6313757474074041,0.05023861429774826
ADMU,0.06732461261510989,0.13464922523021977,-1.4979028469436222,643,0.6341887380376471,0.049942374372018344
ADU,0.12766266798466652,0.25532533596933304,-1.1385377987902168,635,0.6308568991630683,0.04999393950652709
UP,0.02254942927199458,0.04509885854398916,-2.007954947150663,596,0.640893752384909,0.05257195809998839
UE,0.4031959074571103,0.8063918149142206,-0.24518417679779556,645,0.646517098409906,0.05083496620006879
