team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
UST,0.3135041716377722,0.6270083432755444,0.4861770233480096,639,0.6242309647819136,0.049311821535880145
FEU,0.03527040417101001,0.07054080834202002,-1.8114111775557589,647,0.630553433901886,0.0495098866532554
DLSU,0.16944752698419002,0.33889505396838004,-0.9570813888835786,627,0.6014150826851618,0.047964889655613116
ADMU,0.14375971821450365,0.2875194364290073,-1.0644652253909772,640,0.6050017001911964,0.04775595193926275
ADU,0.24522311508911915,0.4904462301782383,-0.6900019818086779,632,0.6011108840069638,0.04774727623545471
UP,0.05205379400631726,0.10410758801263452,-1.6277569786221975,593,0.6097156124923733,0.05012286834558436
UE,0.40664066479586547,0.8132813295917309,0.23629216888928445,642,0.6180635198191886,0.0487123433839573
