player,team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
J. Clemente,NU,165.0,111,0.05694545454545454,0.23727648814244257,-0.12338557905153347,0.18033103359698802,0.9170237571630353,0.9576135740281856,0.090892658062998,0.6265132493538198,1.984,True,101.2325624,49,-13,44.144,8.348
I. Gaye,NU,79.0,61,-0.04107594936708861,0.16178699317074574,-0.24393889190492296,0.20286294253783435,0.6275889451904073,0.7922051156047955,0.10143147126891718,-0.40496257081973325,2.0,True,37.758257962025304,24,-13,39.344,4.089
A. Joson,NU,51.0,38,-0.20627450980392156,0.08782294587893566,-0.5003719654867788,0.2940974556828572,0.8046990789405322,0.8970502098213523,0.1455207598628685,-1.4174919784524516,2.021,True,31.39073450980392,14,-10,36.842,2.385
D. Ildefonso,NU,195.0,122,0.025799999999999993,0.18366998207190816,-0.13206998207190818,0.15786998207190817,0.7755835147446491,0.8806721948288416,0.0797323141777314,0.32358273136898025,1.98,True,93.92681336410254,49,-24,40.164,8.348
S. Ildefonso,NU,90.0,57,-0.2235111111111111,-0.0424775167211662,-0.40454470550105603,0.1810335943899449,0.46284260671957683,0.6803253682757808,0.09011129636134639,-2.4803894754197224,2.009,True,28.76674733333334,11,-35,19.298,1.874
D. Yu,NU,53.0,40,-0.11924528301886793,0.22489425985299544,-0.4633848258907313,0.3441395428718634,1.1667533200062072,1.080163561691565,0.17078885502325725,-0.6982029535980533,2.015,True,46.072156981132075,12,-16,30.0,2.044
M. Aquino,NU,33.0,30,-0.2103636363636364,0.1696431941991747,-0.5903704669264475,0.3800068305628111,1.0389450669706468,1.0192865480180962,0.18609541163702797,-1.1304074319357356,2.042,True,31.456992727272723,8,-14,26.667,1.363
J. Gallego,NU,65.0,56,-0.13463076923076925,0.10570564175298935,-0.37496718021452785,0.2403364109837586,0.8014331389521248,0.895227981551138,0.11962987107205506,-1.1253942516554156,2.009,True,45.0938475076923,17,-22,30.357,2.896
A. Diputado,NU,43.0,32,-0.1377209302325581,0.14567237928507115,-0.42111423975018736,0.28339330951762925,0.6292113344615223,0.7932284251472096,0.1402242996128794,-0.9821473925187545,2.021,True,20.11249711627907,10,-12,31.25,1.704
T. Rike,NU,88.0,67,0.02389772727272727,0.23526093039959745,-0.18746547585414292,0.21136320312687018,0.7482962609038474,0.8650411902931833,0.10568160156343509,0.22612949576074245,2.0,True,49.425817011363634,28,-11,41.791,4.77
J. Sinclair,NU,35.0,29,0.0960857142857143,0.4403511556053258,-0.2481797270338972,0.3442654413196115,0.821860732186589,0.9065653490987778,0.16834495908049463,0.5707668041296718,2.045,True,23.279841971428574,14,-1,48.276,2.385
M. Lee,UST,175.0,117,0.030314285714285724,0.2046110380806187,-0.14398246665204723,0.17429675236633296,0.9029862063335679,0.9502558636144098,0.0878511856685146,0.3450640476119402,1.984,True,104.85391777714285,42,-33,35.897,7.155
C. Cansino,UST,115.0,65,0.007000000000000005,0.24345506972784492,-0.2294550697278449,0.2364550697278449,0.9085537499999999,0.9531808590188957,0.11822753486392246,0.05920786564700741,2.0,True,58.150625,27,-11,41.538,4.6
E. Caunan,UST,44.0,39,-0.13377272727272735,0.1558752936258561,-0.4234207481713108,0.28964802089858344,0.8010748752174859,0.8950278628162845,0.14331915927688443,-0.9333903990762747,2.021,True,31.13875581818182,14,-11,35.897,2.385
K. Zamora,UST,76.0,56,-0.35225,-0.111845073111458,-0.592654926888542,0.240404926888542,0.8018901545454546,0.8954831961267921,0.11966397555427677,-2.9436595129686935,2.009,True,51.052442000000006,10,-36,17.857,1.704
J. Marcos,UST,48.0,40,-0.09402083333333333,0.21515368307103755,-0.4031953497377042,0.3091745164043709,0.9417101918625357,0.9704175348078453,0.153436484567926,-0.6127671237912813,2.015,True,37.08029416666667,14,-12,35.0,2.385
R. Subido,UST,197.0,144,-0.02348730964467004,0.14816089160073206,-0.19513551089007217,0.17164820124540212,1.0822077131600394,1.0402921287600129,0.08669101073000107,-0.27093131625632105,1.98,True,154.83514111675126,47,-50,32.639,8.007
S. Akomo,UST,28.0,16,0.012714285714285687,0.4444539539198337,-0.41902538249126237,0.43173966820554804,0.7110562938775509,0.843241539463961,0.21081038486599024,0.060311477171146065,2.048,True,10.668430857142855,8,0,50.0,1.363
Z. Huang,UST,101.0,71,-0.0903960396039604,0.1041910577811226,-0.28498313698904343,0.194587097385083,0.6761392078143599,0.8222768437785172,0.09758630761538767,-0.92631888440983,1.994,True,47.90991706930693,29,-13,40.845,4.94
I. Batalier,UST,31.0,29,-0.2325483870967742,0.12133765874836103,-0.5864344329419094,0.3538860458451352,0.8684368624944254,0.931899598934577,0.17304941117121528,-1.343826514767453,2.045,True,25.884515967741937,8,-13,27.586,1.363
R. Escoto,FEU,93.0,71,-0.16541935483870968,0.029772159120528857,-0.36061086879794824,0.19519151395923853,0.6803461099549081,0.82483095841203,0.09788942525538542,-1.6898592918197675,1.994,True,49.56704066666667,24,-23,33.803,4.089
A. Inigo,FEU,58.0,47,-0.0887413793103448,0.25045351473639227,-0.4279362733570819,0.3391948940467371,1.331822566219046,1.1540461716149168,0.1683349350107876,-0.52717149476226,2.015,True,61.633964568965524,15,-17,31.915,2.555
K. Tuffin,FEU,57.0,46,0.2102105263157895,0.5255772314689765,-0.10515617883739756,0.31536670515318704,1.1267807328613935,1.0614992853795961,0.15650953109339305,1.3431164533382427,2.015,True,52.73780238596492,23,0,50.0,3.918
