team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
NU,0.03527040417101001,0.07054080834202002,1.8114111775557589,647,0.630553433901886,0.0495098866532554
UST,0.013921605692371653,0.027843211384743306,2.2044376326853117,650,0.6582026406246295,0.051558290880272216
DLSU,0.19285921025995506,0.3857184205199101,0.8680041702598752,638,0.6376269228887584,0.050433466075257796
ADMU,0.21924821921753634,0.4384964384350727,0.775211071782871,651,0.6402546009487575,0.05011307675094521
ADU,0.1293213059444912,0.2586426118889824,1.1306057227148534,643,0.6370711484767685,0.05018287605917669
UP,0.4390985149466555,0.878197029893311,0.15332013625471946,604,0.6472740655461622,0.05279745728695664
UE,0.023776194922877077,0.047552389845754155,1.9850902180216687,653,0.6523019596157864,0.05097657851236047
