player,team,tlow,plow,tupp,pupp,dof
J. Clemente,NU,1.3260314631898538,0.09419081429509032,1.3260314631898538,0.9058091857049096,85.0
I. Gaye,NU,,,,,-1.0
A. Joson,NU,-0.9504475458040559,0.8166456860853744,-0.9504475458040559,0.18335431391462564,9.0
D. Ildefonso,NU,-0.6295187754611117,0.7346510381064256,-0.6295187754611117,0.2653489618935744,85.0
S. Ildefonso,NU,-1.0994349724608008,0.8460268793653677,-1.0994349724608008,0.1539731206346323,7.0
D. Yu,NU,-0.7905430741815406,0.7830635688648235,-0.7905430741815406,0.21693643113517647,40.0
M. Aquino,NU,-0.5913514603886154,0.715581003791727,-0.5913514603886154,0.284418996208273,9.0
J. Gallego,NU,-0.03309683216101228,0.5129676967854946,-0.03309683216101228,0.4870323032145054,14.0
A. Diputado,NU,-1.7564091679686216,0.9435505163386554,-1.7564091679686216,0.0564494836613446,9.0
T. Rike,NU,-2.336738498380144,0.9811961662184683,-2.336738498380144,0.018803833781531713,12.0
J. Sinclair,NU,-0.5893759651590872,0.7063558668018546,-0.5893759651590872,0.2936441331981455,4.0
M. Lee,UST,0.6589157507174604,0.25553196811998297,0.6589157507174604,0.744468031880017,136.0
C. Cansino,UST,0.8626329442504524,0.1969481759519615,0.8626329442504524,0.8030518240480384,37.0
E. Caunan,UST,,,,,-1.0
K. Zamora,UST,-2.7687078820632824,0.9963086517701646,-2.7687078820632824,0.0036913482298353726,63.0
J. Marcos,UST,0.20609402473645114,0.42008632070666657,0.20609402473645114,0.5799136792933334,12.0
R. Subido,UST,1.1000769878566212,0.13668970498381355,1.1000769878566212,0.8633102950161864,127.0
S. Akomo,UST,,,,,-1.0
Z. Huang,UST,-2.1203475125062643,0.9700057555916145,-2.1203475125062643,0.029994244408385468,10.0
I. Batalier,UST,-0.5710399264522322,0.7090255706278472,-0.5710399264522322,0.29097442937215273,9.0
R. Escoto,FEU,-4.1392700512593485,0.9997212706045722,-4.1392700512593485,0.0002787293954278302,19.0
