team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
NU,0.37657258827397155,0.7531451765479431,0.3146254652664526,662,0.6236430768109575,0.04845356953594522
UST,0.16355250407592659,0.32710500815185317,-0.9807115413156604,641,0.6287940308858254,0.04975117061050796
DLSU,0.11881448292214337,0.23762896584428675,1.182010996497644,657,0.6340334338328404,0.04946668789315546
ADMU,0.04509841128992423,0.09019682257984846,1.6969182312176159,642,0.6332168572076775,0.05005557326852295
ADU,0.09360765624806357,0.18721531249612713,1.3202133378375207,669,0.6376981362413914,0.04926507692897102
UP,0.06901624962634882,0.13803249925269764,-1.484936030077895,668,0.656514669427811,0.050759324904419686
UE,0.10017532245463708,0.20035064490927415,-1.2818447731983191,655,0.6530609559304472,0.05103766772599772
