player,team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
J. Clemente,NU,86.0,54,0.15588372093023253,0.45511584857772835,-0.14334840671726332,0.29923212764749585,1.1979820959213037,1.0945236844953625,0.14894580768914678,1.046580117619459,2.009,True,64.80523674418605,25,-4,46.296,5.081
I. Gaye,NU,0.0,0,,,,,,,,,2.048,False,,0,0,,0.0
A. Joson,NU,10.0,9,-0.36560000000000004,0.4699412192970015,-1.2011412192970017,0.8355412192970015,1.498022595,1.223937332954592,0.407979110984864,-0.8961243116527203,2.048,True,13.187151,2,-5,22.222,0.407
D. Ildefonso,NU,86.0,61,-0.0718953488372093,0.1999691495281087,-0.3437598472025273,0.271864498365318,1.1271321584392464,1.061664805124125,0.135932249182659,-0.5289057546645896,2.0,True,67.94323491860466,21,-19,34.426,4.268
S. Ildefonso,NU,8.0,8,-0.42675,0.3684235831426996,-1.2219235831426996,0.7951735831426996,1.2060185,1.0981887360558749,0.3882683511438963,-1.099110959579196,2.048,True,9.899054,1,-6,12.5,0.203
D. Yu,NU,41.0,30,-0.14126829268292682,0.28735841448332555,-0.5698949998491792,0.4286267071662524,1.3218075706168333,1.1496989043296655,0.20990534141344389,-0.6730095181554964,2.042,True,38.931121463414634,8,-14,26.667,1.626
M. Aquino,NU,10.0,10,-0.24170000000000008,0.5953764494658669,-1.078776449465867,0.8370764494658669,1.6705917888888886,1.292513748046375,0.4087287350907553,-0.5913457490243066,2.048,True,15.619514999999998,2,-6,20.0,0.407
J. Gallego,NU,15.0,14,-0.010533333333333329,0.666555345850121,-0.6876220125167876,0.6770886791834543,1.5302388936752136,1.2370282509608315,0.330609706632546,-0.031860326911213564,2.048,True,19.894658933333332,4,-6,28.571,0.813
A. Diputado,NU,10.0,9,-0.49660000000000004,0.11746968827611093,-1.110669688276111,0.614069688276111,0.809129295,0.8995161449357093,0.2998387149785698,-1.6562237469417291,2.048,True,8.6925384,1,-7,11.111,0.203
T. Rike,NU,13.0,11,-0.5741538461538461,-0.0229619880136539,-1.1253457042940385,0.5511918581401922,0.79677989704142,0.8926252836669035,0.26913664948251576,-2.1333172098924624,2.048,True,11.593978,1,-9,9.091,0.203
J. Sinclair,NU,5.0,5,-0.34639999999999993,0.8567913025047348,-1.5495913025047345,1.2031913025047347,1.7257563000000002,1.313680440594287,0.58749575317614,-0.5896212834344422,2.048,True,7.5029900000000005,1,-3,20.0,0.203
M. Lee,UST,137.0,85,0.054379562043795654,0.26358134317425164,-0.15482221908666036,0.209201781130456,0.9393847994730419,0.9692186541090931,0.10512652318113368,0.5172772807305661,1.99,True,79.1596797810219,29,-27,34.118,5.894
C. Cansino,UST,38.0,30,0.18036842105263157,0.6627888188977119,-0.3020519767924488,0.48242039784508034,1.6744072824529563,1.293988903527753,0.2362489705411755,0.7634675429038342,2.042,True,49.53379421052632,13,-4,43.333,2.642
E. Caunan,UST,0.0,0,,,,,,,,,2.048,False,,0,0,,0.0
K. Zamora,UST,64.0,48,-0.325296875,-0.051321187709346794,-0.5992725622906532,0.2739756872906532,0.8873913408410905,0.9420145120119384,0.13596808302265667,-2.3924502557397607,2.015,True,46.78665975,9,-30,18.75,1.829
J. Marcos,UST,13.0,13,0.0744615384615385,0.8138748347044428,-0.6649517577813658,0.7394132962429043,1.6945639358974358,1.301754176447088,0.3610416485561056,0.20624085547838736,2.048,True,20.406846,4,-5,30.769,0.813
R. Subido,UST,128.0,87,0.10904687499999999,0.3488266739851618,-0.13073292398516184,0.23977979898516183,1.2631015944341613,1.1238779268382137,0.1204923612990763,0.9050106896762753,1.99,True,109.66127334374998,33,-21,37.931,6.707
S. Akomo,UST,0.0,0,,,,,,,,,2.048,False,,0,0,,0.0
Z. Huang,UST,11.0,10,-0.5453636363636364,0.009853923482626148,-1.100581196209899,0.5552175598462625,0.734964701561065,0.857300823259295,0.27110232414368285,-2.011652382864104,2.048,True,9.588897272727271,1,-8,10.0,0.203
I. Batalier,UST,10.0,10,-0.2117,0.5472044198463291,-0.9706044198463291,0.7589044198463291,1.3731382333333333,1.171809811075728,0.37055879875309033,-0.5712993476672492,2.048,True,12.806413000000001,2,-6,20.0,0.407
R. Escoto,FEU,20.0,19,-0.60045,-0.2953231056412541,-0.905576894358746,0.30512689435874596,0.42174959458333333,0.6494225085284104,0.14898774138610643,-4.03019734653145,2.048,True,14.441756550000001,2,-15,10.526,0.407
A. Inigo,FEU,32.0,26,0.07321875000000005,0.5869620067611179,-0.4405245067611178,0.5137432567611179,1.6360844327343746,1.279095161719555,0.2508511995903896,0.2918812033570405,2.048,True,41.041496437499994,9,-8,34.615,1.829
K. Tuffin,FEU,42.0,33,0.2288571428571429,0.6292292257676806,-0.17151494005339477,0.40037208291053766,1.2951166530612244,1.1380319209324599,0.19810592919868267,1.155226114548139,2.021,True,43.17212742857143,16,-1,48.485,3.252
H. Cani,FEU,42.0,36,-0.08669047619047619,0.3043556283644991,-0.4777365807454515,0.3910461045549753,1.347801085131195,1.1609483559276852,0.1934913926546142,-0.44803272642323855,2.021,True,47.44358657142856,11,-14,30.556,2.236
B. Ebona,FEU,0.0,0,,,,,,,,,2.048,False,,0,0,,0.0
J. Parker,FEU,27.0,26,-0.1856666666666667,0.32997749194216835,-0.7013108252755018,0.5156441586088351,1.6482141866666666,1.2838279427815344,0.25177937432072023,-0.7374180953764775,2.048,True,42.101629555555554,6,-14,23.077,1.22
