player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Clemente,NU,0.07291831882563993,0.14583663765127985,1.4589047079478386,252,1.0309435482242562,0.13041340533418738
I. Gaye,NU,0.03125647916672553,0.06251295833345107,1.872999627469717,202,1.0064631793224779,0.1539146782018033
A. Joson,NU,0.009424240518077238,0.018848481036154476,2.370072448204307,179,1.0483775486780442,0.19133621662684316
D. Ildefonso,NU,0.03618963455215005,0.0723792691043001,1.8039755300526832,263,0.9958274758227517,0.12273236630906206
S. Ildefonso,NU,0.0013231272296940647,0.0026462544593881293,3.044638684139579,198,0.9869947545067435,0.15460530641295028
D. Yu,NU,0.03011375554749439,0.06022751109498878,1.8909579090089468,181,1.0834455098971858,0.19379144656791217
M. Aquino,NU,0.01762247907005275,0.0352449581401055,2.1223877303207597,171,1.0735894669865138,0.21559200300384954
J. Gallego,NU,0.01013592496025674,0.02027184992051348,2.340243454195038,197,1.035028748368459,0.16316121047718862
A. Diputado,NU,0.029818503088120077,0.059637006176240154,1.8959257049743856,173,1.038200358184147,0.20302858639957563
T. Rike,NU,0.07033375734146584,0.14066751468293168,1.47894620760376,208,1.019878808404731,0.15099160276836243
J. Sinclair,NU,0.241837832910821,0.483675665821642,0.7019413257514369,170,1.057122415747374,0.21528932082680793
M. Lee,UST,0.04560225866764261,0.09120451733528522,1.6954076960006934,258,1.0262270510370946,0.12792905232431825
C. Cansino,UST,0.06302749075774886,0.1260549815154977,1.5360728943872517,206,1.0453588268076037,0.1563768141764066
E. Caunan,UST,0.02275832799444669,0.04551665598889338,2.0138293520185133,180,1.047231989250938,0.18918132882404984
K. Zamora,UST,0.00015395987663356796,0.0003079197532671359,3.673792861005768,197,1.0350903840414778,0.1631709266817232
J. Marcos,UST,0.03689557012958164,0.07379114025916328,1.798329756778964,181,1.0608318514866104,0.18974663440565226
R. Subido,UST,0.015877993985704577,0.031755987971409154,2.1580901584062144,285,1.062469696244023,0.12543196777820997
S. Akomo,UST,0.2021357359236563,0.4042714718473126,0.8362745410990388,157,1.0636736911211735,0.2804006200458446
Z. Huang,UST,0.010843342364412475,0.02168668472882495,2.3129090829843784,212,1.0053957504025386,0.14596433022579422
I. Batalier,UST,0.013842659060208118,0.027685318120416236,2.2208083223131156,170,1.060744627379513,0.2160270059525394
R. Escoto,FEU,0.0025901109842405208,0.0051802219684810415,2.824952618688058,212,1.0060863215395515,0.14606458801328437
A. Inigo,FEU,0.03567842719537747,0.07135685439075494,1.8134519227817114,188,1.1018071805469294,0.1852530859279878
K. Tuffin,FEU,0.41995231938546973,0.8399046387709395,0.20229677414882044,187,1.0788916842254481,0.18287814725115092
H. Cani,FEU,0.06271194961785838,0.12542389923571676,1.5378542322692692,236,1.0453443951391255,0.13836238903672216
B. Ebona,FEU,0.3542340536574937,0.7084681073149874,0.37454544575236937,169,1.0407806477585073,0.21508505218013663
J. Parker,FEU,0.0009915473301444018,0.0019830946602888036,3.1302952842837746,220,1.0394896544515735,0.1457186349383469
A. Stockton,FEU,0.08810096041142282,0.17620192082284564,1.357969468925035,177,1.0650677221847547,0.1986023895654062
A. Tolentino,FEU,0.35658168244748734,0.7131633648949747,0.36805711654447265,234,1.0947642560325943,0.1458367971282252
W. Comboy,FEU,0.035279655319171516,0.07055931063834303,1.8166619454708923,232,1.0854125560080472,0.14555061840747982
P. Orizu,FEU,0.31224819608779875,0.6244963921755975,-0.4903866512625914,169,1.0327062207014746,0.21341641184883642
J. Baltazar,DLSU,0.055899019854414395,0.11179803970882879,1.596129561547356,236,0.9901930123996635,0.1310625201035798
A. Caracut,DLSU,0.013298078473112868,0.026596156946225736,2.2315581215350266,233,1.0266504224563622,0.13721278804991957
K. Montalbo,DLSU,0.004981744535765715,0.00996348907153143,2.6032522642074545,190,1.0496913605908849,0.17375854784695846
L. Santillian,DLSU,0.03840748428543701,0.07681496857087403,1.777454109880793,230,0.995642579319838,0.1344263577285467
A. Melecio,DLSU,0.08600031375452466,0.17200062750904932,1.3692697494442243,283,1.0428962697669872,0.12355244756223632
J. Go,DLSU,0.26847213840998374,0.5369442768199675,-0.6186607959771196,175,1.1224647478319882,0.21416666127425457
F. Serrano,DLSU,0.016007634218093144,0.03201526843618629,2.159174986248351,202,1.0544462588033605,0.1612525524421736
M. Dyke,DLSU,0.08319379686435249,0.16638759372870499,1.3895313012121282,180,1.0501513397220987,0.18970870633648845
M. Nieto,ADMU,0.06757969320907121,0.13515938641814243,1.5002160528061623,197,1.076328685574032,0.16967170379219584
T. Ravena,ADMU,0.011886772928104247,0.023773545856208493,2.2760162063949285,228,1.011577564278127,0.13754204003738807
A. Asistio,ADMU,0.3678518339062623,0.7357036678125246,0.3379920077657055,212,1.1042124587451367,0.16031063579011556
A. Kouame,ADMU,0.2809219670353761,0.5618439340707522,0.5811158195591574,192,0.9755759817180716,0.15911417003710265
I. Go,ADMU,0.0386300196211566,0.0772600392423132,1.7758686370865187,202,1.074598819741993,0.16433440878380334
T. Tio,ADMU,0.04723939138023158,0.09447878276046316,1.6802044173638409,200,1.0707281386433793,0.16567648661954923
R. Verano,ADMU,0.08007962176442936,0.1601592435288587,1.4092329439191593,223,1.0680768061988246,0.1479513043839525
A. Wong,ADMU,0.00025725870959407887,0.0005145174191881577,3.536068275159961,183,1.0433467134221033,0.18311412776048414
J. Mendoza,ADMU,0.15954061704373446,0.3190812340874689,0.9989669650366876,190,1.10483127290035,0.18288602231327014
W. Navarro,ADMU,0.0021203610695646686,0.004240722139129337,2.8938724765714197,194,1.020673199085862,0.16413786999959618
P. Sarr,ADU,0.001782448802713976,0.003564897605427952,2.9467978957045453,215,0.9613922694581973,0.13767231459213355
V. Magbuhos,ADU,0.1540361715770059,0.3080723431540118,1.0224337762884248,165,1.0449673123889611,0.23050868940684546
S. Manganti,ADU,0.035717328375123716,0.07143465675024743,1.8101583464636952,258,1.0042523108898498,0.12518969003673366
C. Catapusan,ADU,0.002520196650172409,0.005040393300344818,2.8399675266245303,177,1.0525001616852383,0.19625892586425125
J. Espeleta,ADU,0.012192986704425278,0.024385973408850556,2.2675231862586296,208,1.0567915086225133,0.15645647538112803
J. Lastimosa,ADU,0.31750657732141224,0.6350131546428245,0.47537921089962826,209,1.079794067791813,0.1590595281424345
J. Pingoy,ADU,0.03728599564610337,0.07457199129220674,1.7932707842180926,184,1.088932773238424,0.18938923700532775
E. Mojica,ADU,0.0015472532198226737,0.0030945064396453474,3.000421055921612,173,1.0659071676295695,0.20844687999868916
S. Camacho,ADU,0.04378701763427298,0.08757403526854596,1.717332184419541,187,1.0208022687611435,0.1730316679146817
G. Mahinay,UST,0.028716254136274405,0.05743250827254881,1.9122473031237261,180,1.0334358106645751,0.186689064049433
