player,team,tlow,plow,tupp,pupp,dof
J. Clemente,NU,0.7656281822156656,0.22249902265061478,0.7656281822156656,0.7775009773493853,164.0
I. Gaye,NU,-0.4621825979581076,0.6773814989247671,-0.4621825979581076,0.322618501075233,78.0
A. Joson,NU,-1.6472033900717347,0.9471061637929099,-1.6472033900717347,0.05289383620709016,50.0
D. Ildefonso,NU,0.4097168334703465,0.34123286216942084,0.4097168334703465,0.658767137830579,194.0
S. Ildefonso,NU,-3.12665481044365,0.9988056137900859,-3.12665481044365,0.0011943862099140564,89.0
D. Yu,NU,-0.8064949382738542,0.7881846066630899,-0.8064949382738542,0.21181539333691013,52.0
M. Aquino,NU,-1.187370808216513,0.8780895731129733,-1.187370808216513,0.12191042688702672,32.0
J. Gallego,NU,-1.2144213468888425,0.8854755738647364,-1.2144213468888425,0.11452442613526366,64.0
A. Diputado,NU,-1.14241744472521,0.8701242508921778,-1.14241744472521,0.12987574910782212,42.0
T. Rike,NU,0.2598905420620131,0.39778112910817337,0.2598905420620131,0.6022188708918266,87.0
J. Sinclair,NU,0.6287520009557594,0.2668565450120023,0.6287520009557594,0.7331434549879977,34.0
M. Lee,UST,0.42337712619920614,0.3362714898933644,0.42337712619920614,0.6637285101066357,174.0
C. Cansino,UST,0.07954064806108663,0.4683710301517457,0.07954064806108663,0.5316289698482544,114.0
E. Caunan,UST,-0.993297496500789,0.8369390482978305,-0.993297496500789,0.16306095170216944,43.0
K. Zamora,UST,-3.436409607897623,0.9995177782009614,-3.436409607897623,0.0004822217990386216,75.0
J. Marcos,UST,-0.6725142406146584,0.7477252872975879,-0.6725142406146584,0.2522747127024121,47.0
R. Subido,UST,-0.31682647869639113,0.6241437635558937,-0.31682647869639113,0.3758562364441064,196.0
S. Akomo,UST,0.08128365016867468,0.4679079652261112,0.08128365016867468,0.5320920347738888,27.0
Z. Huang,UST,-1.1072818962594921,0.8645857808497475,-1.1072818962594921,0.1354142191502525,100.0
I. Batalier,UST,-1.3901547873771942,0.912644494165791,-1.3901547873771942,0.08735550583420901,30.0
R. Escoto,FEU,-1.9364046483923687,0.9720563285477883,-1.9364046483923687,0.02794367145221169,92.0
A. Inigo,FEU,-0.5868077174208642,0.7201750398466069,-0.5868077174208642,0.2798249601533931,57.0
K. Tuffin,FEU,1.4985772810446665,0.06979983751229243,1.4985772810446665,0.9302001624877075,56.0
H. Cani,FEU,0.383674861854069,0.35095203674023123,0.383674861854069,0.6490479632597688,119.0
B. Ebona,FEU,1.5532882707382998,0.06333086467242553,1.5532882707382998,0.9366691353275745,50.0
J. Parker,FEU,-2.128972490647062,0.982050556767453,-2.128972490647062,0.017949443232547057,93.0
A. Stockton,FEU,-0.16000380640044742,0.5632252425131021,-0.16000380640044742,0.4367747574868978,48.0
A. Tolentino,FEU,1.8869106715350288,0.030836021396216273,1.8869106715350288,0.9691639786037838,116.0
W. Comboy,FEU,-0.17282108938243457,0.5684559280202425,-0.17282108938243457,0.4315440719797575,118.0
P. Orizu,FEU,3.6146162367997134,0.00034905750352000906,3.6146162367997134,0.99965094249648,50.0
J. Baltazar,DLSU,0.5619887810184456,0.2874868913424577,0.5619887810184456,0.7125131086575422,148.0
A. Caracut,DLSU,-0.7166402507556536,0.7625388245561164,-0.7166402507556536,0.2374611754438835,126.0
K. Montalbo,DLSU,-1.7083810165925761,0.9536326255400706,-1.7083810165925761,0.046367374459929514,60.0
L. Santillian,DLSU,0.11822206161545484,0.4530305812774089,0.11822206161545484,0.5469694187225911,140.0
A. Melecio,DLSU,1.1137476112139693,0.13335548357539545,1.1137476112139693,0.8666445164246046,202.0
J. Go,DLSU,1.8159169683069787,0.03885951712536482,1.8159169683069787,0.9611404828746352,36.0
F. Serrano,DLSU,-0.9742500944776918,0.8336985638975987,-0.9742500944776918,0.16630143610240133,88.0
M. Dyke,DLSU,-0.12715620244596937,0.5503314216287684,-0.12715620244596937,0.44966857837123175,49.0
M. Nieto,ADMU,-0.0584573793987583,0.523224564948156,-0.0584573793987583,0.47677543505184405,70.0
T. Ravena,ADMU,-0.8858176531534159,0.8113716184470685,-0.8858176531534159,0.18862838155293143,138.0
A. Asistio,ADMU,1.5949208340479542,0.05715766413308156,1.5949208340479542,0.9428423358669185,88.0
A. Kouame,ADMU,3.1833802432248097,0.0009093384339568404,3.1833802432248097,0.9990906615660431,131.0
I. Go,ADMU,-0.3625613866244912,0.6410026643609027,-0.3625613866244912,0.3589973356390973,72.0
T. Tio,ADMU,-0.24622103006727994,0.5968623530749607,-0.24622103006727994,0.4031376469250393,66.0
R. Verano,ADMU,0.36590554236485534,0.35762454989824843,0.36590554236485534,0.6423754501017516,95.0
A. Wong,ADMU,-3.098137719236234,0.9983420118063394,-3.098137719236234,0.001657988193660553,46.0
J. Mendoza,ADMU,0.4117458238718692,0.3410777719952702,0.4117458238718692,0.6589222280047298,54.0
W. Navarro,ADMU,-2.2553389428121275,0.9862572342425702,-2.2553389428121275,0.013742765757429769,65.0
P. Sarr,ADU,-2.9135792287049878,0.9979301310861857,-2.9135792287049878,0.0020698689138143535,145.0
J. Ahanmisi,ADU,3.1786731854138055,0.0008617188549017962,3.1786731854138055,0.9991382811450982,193.0
V. Magbuhos,ADU,0.09576651145989828,0.4621114164445213,0.09576651145989828,0.5378885835554787,37.0
S. Manganti,ADU,0.30173600349402174,0.38160998029984794,0.30173600349402174,0.6183900197001522,171.0
C. Catapusan,ADU,-2.2356080183021536,0.984625175780964,-2.2356080183021536,0.015374824219036054,42.0
