team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
NU,1015.0,317,-0.03176354679802955,0.03203821985369221,-0.0955653134497513,0.06380176665172176,0.3318263345658178,0.5760436915424192,0.03235383704448365,-0.981755170317434,1.972,True,105.17695028374384,126,-64,39.748,21.465
UST,1001.0,296,0.03227272727272728,0.09928182768968344,-0.03473637314422887,0.06700910041695615,0.34177907115750195,0.5846187399985583,0.03398027404510961,0.9497488816565893,1.972,True,101.13311855344655,127,-42,42.905,21.635
FEU,983.0,347,-0.016518819938962367,0.053788853148594606,-0.08682649302651935,0.07030767308755698,0.4410837954899047,0.6641413972113955,0.035652978239126255,-0.4633223016649504,1.972,True,152.70967961953204,145,-57,41.787,24.702
DLSU,999.0,312,-0.074988988988989,-0.008141843756827277,-0.1418361342211507,0.06684714523216172,0.3585143164586136,0.5987606503926369,0.033898146669453205,-2.212185513273626,1.972,False,113.25243714114113,126,-60,40.385,21.465
ADMU,891.0,297,-0.10145903479236813,-0.03337096951189095,-0.16954710007284532,0.06808806528047719,0.3540663189805967,0.5950347208193794,0.03452741647083021,-2.9385064149842703,1.972,False,107.86092933333333,98,-101,32.997,16.695
ADU,937.0,324,-0.08155923159018144,-0.014938758317376802,-0.1481797048629861,0.06662047327280464,0.3697827230172626,0.6080976262223547,0.03378320145679749,-2.4141948682537007,1.972,False,121.59503781003201,116,-92,35.802,19.761
UP,886.0,323,0.058855530474040636,0.12998142301351243,-0.01227036206543116,0.0711258925394718,0.4201884975921229,0.6482194825767912,0.036067896825289956,1.6317982376164648,1.972,True,136.41955965462753,135,-53,41.796,22.998
UE,902.0,310,0.04890354767184036,0.12063261606744125,-0.022825520723760533,0.07172906839560089,0.410145785520421,0.6404262529912567,0.03637376693488889,1.344473003287795,1.972,True,127.47643038802661,135,-40,43.548,22.998
