player,team,tlow,plow,tupp,pupp,dof
J. Clemente,NU,0.16865880757471396,0.4331364259385012,0.16865880757471396,0.5668635740614988,164.0
I. Gaye,NU,-0.009825785705499376,0.503907314282702,-0.009825785705499376,0.4960926857172981,78.0
A. Joson,NU,-3.826925992256042,0.9998190800764755,-3.826925992256042,0.00018091992352453927,50.0
D. Ildefonso,NU,2.860391798674515,0.0023473376744805744,2.860391798674515,0.9976526623255194,194.0
S. Ildefonso,NU,0.17100616145764852,0.43230355268286574,0.17100616145764852,0.5676964473171342,89.0
D. Yu,NU,-0.46930420004746903,0.679592952273208,-0.46930420004746903,0.32040704772679207,52.0
M. Aquino,NU,-1.5496679472462191,0.9344720611809769,-1.5496679472462191,0.06552793881902302,32.0
J. Gallego,NU,-1.7725517593381994,0.9594689721210891,-1.7725517593381994,0.04053102787891094,64.0
A. Diputado,NU,-1.1740533197791374,0.8765059339911104,-1.1740533197791374,0.12349406600888954,42.0
T. Rike,NU,0.9514044043050199,0.1720174100835195,0.9514044043050199,0.8279825899164805,87.0
J. Sinclair,NU,0.12537092694217772,0.4504841445577517,0.12537092694217772,0.5495158554422482,34.0
M. Lee,UST,2.5848693612149107,0.0052805812493326955,2.5848693612149107,0.9947194187506673,174.0
C. Cansino,UST,-1.8024901041488983,0.9629447425171531,-1.8024901041488983,0.03705525748284685,114.0
E. Caunan,UST,-1.6307508437973208,0.9448765032384532,-1.6307508437973208,0.05512349676154681,43.0
K. Zamora,UST,-2.8034719708827778,0.9967839571845608,-2.8034719708827778,0.0032160428154391343,75.0
J. Marcos,UST,0.24545360035591654,0.40358694313087745,0.24545360035591654,0.5964130568691225,47.0
R. Subido,UST,0.47735159300117547,0.3168218176872778,0.47735159300117547,0.6831781823127222,196.0
S. Akomo,UST,-0.25569462488650446,0.5999377049468959,-0.25569462488650446,0.40006229505310414,27.0
Z. Huang,UST,-2.3287204751038817,0.9890567408079101,-2.3287204751038817,0.010943259192089898,100.0
I. Batalier,UST,-1.7404615933715364,0.9539861087166956,-1.7404615933715364,0.04601389128330441,30.0
R. Escoto,FEU,-1.274121381665432,0.897085211389498,-1.274121381665432,0.10291478861050189,92.0
A. Inigo,FEU,-0.9495844979979767,0.8268338084917806,-0.9495844979979767,0.1731661915082195,57.0
K. Tuffin,FEU,1.7784913848561106,0.04037584168919297,1.7784913848561106,0.959624158310807,56.0
H. Cani,FEU,0.27211764322566756,0.3930015674033133,0.27211764322566756,0.6069984325966866,119.0
B. Ebona,FEU,3.3438812968702485,0.0007859290084651251,3.3438812968702485,0.9992140709915348,50.0
J. Parker,FEU,-3.2482800809337835,0.9991919891400212,-3.2482800809337835,0.0008080108599787742,93.0
A. Stockton,FEU,-0.08672859909391074,0.5343759832060355,-0.08672859909391074,0.46562401679396453,48.0
A. Tolentino,FEU,2.8627507036545565,0.002492420576857063,2.8627507036545565,0.9975075794231429,116.0
W. Comboy,FEU,-1.2303970010333511,0.889502181257125,-1.2303970010333511,0.11049781874287501,118.0
P. Orizu,FEU,5.392283897703568,9.46606521548157e-07,5.392283897703568,0.9999990533934784,50.0
J. Baltazar,DLSU,2.2064211182675857,0.014447753455413737,2.2064211182675857,0.9855522465445863,148.0
A. Caracut,DLSU,-0.7051545496510189,0.7589922083546127,-0.7051545496510189,0.24100779164538733,126.0
K. Montalbo,DLSU,-2.4456757050154945,0.9912956612836867,-2.4456757050154945,0.008704338716313256,60.0
L. Santillian,DLSU,-1.9785384577170795,0.9750847306499733,-1.9785384577170795,0.02491526935002673,140.0
A. Melecio,DLSU,0.6656666284778167,0.25319180441684025,0.6656666284778167,0.7468081955831598,202.0
J. Go,DLSU,2.0709351562424967,0.022796251495835033,2.0709351562424967,0.977203748504165,36.0
F. Serrano,DLSU,-2.3203231196858094,0.9886816330240713,-2.3203231196858094,0.011318366975928713,88.0
M. Dyke,DLSU,-0.7565151432875513,0.7735187456074103,-0.7565151432875513,0.2264812543925897,49.0
M. Nieto,ADMU,-0.913966879983758,0.8180641493783221,-0.913966879983758,0.181935850621678,70.0
T. Ravena,ADMU,-0.14697332259653376,0.5583162114656219,-0.14697332259653376,0.44168378853437795,138.0
A. Asistio,ADMU,1.9305663212685147,0.028378356652166408,1.9305663212685147,0.9716216433478336,88.0
A. Kouame,ADMU,7.014693313497321,5.53880189390601e-11,7.014693313497321,0.999999999944612,131.0
I. Go,ADMU,0.27589781002482766,0.39170844938455573,0.27589781002482766,0.6082915506154443,72.0
T. Tio,ADMU,0.30380970423055775,0.38111430516494055,0.30380970423055775,0.6188856948350594,66.0
R. Verano,ADMU,1.4328708346799766,0.07758869462169486,1.4328708346799766,0.9224113053783051,95.0
A. Wong,ADMU,-3.156758913961919,0.99859285114386,-3.156758913961919,0.0014071488561399556,46.0
J. Mendoza,ADMU,0.46521611121844425,0.32182369839315794,0.46521611121844425,0.6781763016068421,54.0
W. Navarro,ADMU,-2.220298433350535,0.9850544352953102,-2.220298433350535,0.014945564704689832,65.0
P. Sarr,ADU,-5.041687043512162,0.9999993217759972,-5.041687043512162,6.782240028397244e-07,145.0
J. Ahanmisi,ADU,2.950463473771386,0.0017828982876726025,2.950463473771386,0.9982171017123274,193.0
V. Magbuhos,ADU,1.7886381940122236,0.040931789961347026,1.7886381940122236,0.959068210038653,37.0
S. Manganti,ADU,1.8133455570738808,0.03576597847635242,1.8133455570738808,0.9642340215236476,171.0
C. Catapusan,ADU,-1.564645436551376,0.9374147822600334,-1.564645436551376,0.06258521773996663,42.0
