player,team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss
J. Clemente,NU,165.0,111,0.05694545454545454,0.23873077067145054,-0.12483986158054144,0.181785316125996,0.9170237571630353,0.9576135740281856,0.090892658062998,0.6265132493538198,2.0,True,101.2325624
I. Gaye,NU,79.0,61,-0.04107594936708861,0.16178699317074574,-0.24393889190492296,0.20286294253783435,0.6275889451904073,0.7922051156047955,0.10143147126891718,-0.40496257081973325,2.0,True,37.758257962025304
A. Joson,NU,51.0,38,-0.20627450980392156,0.09087888183605589,-0.503427901443899,0.29715339163997745,0.8046990789405322,0.8970502098213523,0.1455207598628685,-1.4174919784524516,2.042,True,31.39073450980392
D. Ildefonso,NU,195.0,122,0.025799999999999993,0.18366998207190816,-0.13206998207190818,0.15786998207190817,0.7755835147446491,0.8806721948288416,0.0797323141777314,0.32358273136898025,1.98,True,93.92681336410254
S. Ildefonso,NU,90.0,57,-0.2235111111111111,-0.03950384394124179,-0.4075183782809804,0.18400726716986932,0.46284260671957683,0.6803253682757808,0.09011129636134639,-2.4803894754197224,2.042,True,28.76674733333334
D. Yu,NU,53.0,40,-0.11924528301886793,0.22950555893862334,-0.46799612497635923,0.3487508419574913,1.1667533200062072,1.080163561691565,0.17078885502325725,-0.6982029535980533,2.042,True,46.072156981132075
M. Aquino,NU,33.0,30,-0.2103636363636364,0.1696431941991747,-0.5903704669264475,0.3800068305628111,1.0389450669706468,1.0192865480180962,0.18609541163702797,-1.1304074319357356,2.042,True,31.456992727272723
J. Gallego,NU,65.0,56,-0.13463076923076925,0.10965342749836715,-0.37891496595990565,0.2442841967291364,0.8014331389521248,0.895227981551138,0.11962987107205506,-1.1253942516554156,2.042,True,45.0938475076923
A. Diputado,NU,43.0,32,-0.1377209302325581,0.14861708957694164,-0.42405895004205785,0.28633801980949974,0.6292113344615223,0.7932284251472096,0.1402242996128794,-0.9821473925187545,2.042,True,20.11249711627907
T. Rike,NU,88.0,67,0.02389772727272727,0.23526093039959745,-0.18746547585414292,0.21136320312687018,0.7482962609038474,0.8650411902931833,0.10568160156343509,0.22612949576074245,2.0,True,49.425817011363634
